Document Name: Hoplandqpcrplate52-4-11 ,,,,,,,,,,,,,
Plate Type: Standard Curve,,,,,,,,,,,,,
User: EGF User,,,,,,,,,,,,,
,,,,,,,,,,,,,
Document Information,,,,,,,,,,,,,
,,,,,,,,,,,,,
Operator: EGF User,,,,,,,,,,,,,
Run Date: Tuesday, April 11, 2023 15:29:21,,,,,,,,,,,
Last Modified: Wednesday, April 12, 2023 09:55:12,,,,,,,,,,,
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System,,,,,,,,,,,,,
,,,,,,,,,,,,,
Comments:,,,,,,,,,,,,,
SDS v1.4,,,,,,,,,,,,,
,,,,,,,,,,,,,
Thermal Cycler Profile,,,,,,,,,,,,,
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment,,,,,,,,
1,1,95.0 °C,15:00,Auto,,,,,,,,,
2,40,95.0 °C,0:10,Auto,,,,,,,,,
,,60.0 °C,0:15,Auto,,,,,,,,,
,,72.0 °C,0:30,Auto,,,,,,,,,
3 (Dissociation),1,95.0 °C,0:15,Auto,,,,,,,,,
,,60.0 °C,1:00,Auto,,,,,,,,,
,,95.0 °C,0:15,Auto,,,,,,,,,
,,60.0 °C,0:15,Auto,,,,,,,,,
Fast 7500 Mode,,,,,,,,,,,,,
Data Collection :  Stage 2 Step 3,,,,,,,,,,,,,
PCR Volume: 20 µL,,,,,,,,,,,,,
,,,,,,,,,,,,,
Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm,User Defined #1,User Defined #2,User Defined #3
A1,229,Rec_F1,Unknown,Undetermined,,,,,,71.7,,,
A2,229,Rec_F1,Unknown,Undetermined,,,,,,65.4,,,
A3,237,Rec_F1,Unknown,Undetermined,,,,,,65.4,,,
A4,237,Rec_F1,Unknown,Undetermined,,,,,,66.6,,,
A5,P,Rec_F1,Unknown,23.5905,0.843,,,,,79.9,,,
A6,P,Rec_F1,Unknown,24.7834,0.843,,,,,80.5,,,
B1,230,Rec_F1,Unknown,Undetermined,,,,,,67.1,,,
B2,230,Rec_F1,Unknown,Undetermined,,,,,,65.4,,,
B3,238,Rec_F1,Unknown,26.282,0.00774,,,,,80.8,,,
B4,238,Rec_F1,Unknown,26.2711,0.00774,,,,,80.8,,,
C1,231,Rec_F1,Unknown,29.0275,0.506,,,,,80.5,,,
C2,231,Rec_F1,Unknown,28.3118,0.506,,,,,80.8,,,
C3,239,Rec_F1,Unknown,Undetermined,,,,,,64.9,,,
C4,239,Rec_F1,Unknown,Undetermined,,,,,,66,,,
D1,232,Rec_F1,Unknown,32.6424,0.255,,,,,80.8,,,
D2,232,Rec_F1,Unknown,33.0037,0.255,,,,,81.1,,,
D3,240,Rec_F1,Unknown,28.7843,0.0346,,,,,81.1,,,
D4,240,Rec_F1,Unknown,28.8333,0.0346,,,,,81.1,,,
E1,233,Rec_F1,Unknown,Undetermined,,,,,,66.6,,,
E2,233,Rec_F1,Unknown,Undetermined,,,,,,64.9,,,
E3,241,Rec_F1,Unknown,Undetermined,,,,,,66,,,
E4,241,Rec_F1,Unknown,Undetermined,,,,,,64.9,,,
F1,234,Rec_F1,Unknown,Undetermined,,,,,,65.4,,,
F2,234,Rec_F1,Unknown,Undetermined,,,,,,65.2,,,
F3,242,Rec_F1,Unknown,Undetermined,,,,,,66,,,
F4,242,Rec_F1,Unknown,Undetermined,,,,,,64.9,,,
G1,235,Rec_F1,Unknown,28.6674,0.015,,,,,80.5,,,
G2,235,Rec_F1,Unknown,28.6887,0.015,,,,,80.8,,,
G3,NTC,Rec_F1,Unknown,Undetermined,,,,,,65.7,,,
G4,NTC,Rec_F1,Unknown,Undetermined,,,,,,64.9,,,
H1,236,Rec_F1,Unknown,Undetermined,,,,,,80.8,,,
H2,236,Rec_F1,Unknown,Undetermined,,,,,,64.9,,,
H3,N,Rec_F1,Unknown,Undetermined,,,,,,80.8,,,
H4,N,Rec_F1,Unknown,Undetermined,,,,,,65.4,,,
