Document Name: Hopland_Plate51_4-07-23 ,,,,,,,,,,,,,
Plate Type: Standard Curve,,,,,,,,,,,,,
User: EGF User,,,,,,,,,,,,,
,,,,,,,,,,,,,
Document Information,,,,,,,,,,,,,
,,,,,,,,,,,,,
Operator: EGF User,,,,,,,,,,,,,
Run Date: Friday, April 07, 2023 12:57:06,,,,,,,,,,,
Last Modified: Friday, April 07, 2023 14:32:31,,,,,,,,,,,
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System,,,,,,,,,,,,,
,,,,,,,,,,,,,
Comments:,,,,,,,,,,,,,
SDS v1.4,,,,,,,,,,,,,
,,,,,,,,,,,,,
Thermal Cycler Profile,,,,,,,,,,,,,
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment,,,,,,,,
1,1,95.0 °C,15:00,Auto,,,,,,,,,
2,40,95.0 °C,0:10,Auto,,,,,,,,,
,,60.0 °C,0:15,Auto,,,,,,,,,
,,72.0 °C,0:30,Auto,,,,,,,,,
3 (Dissociation),1,95.0 °C,0:15,Auto,,,,,,,,,
,,60.0 °C,1:00,Auto,,,,,,,,,
,,95.0 °C,0:15,Auto,,,,,,,,,
,,60.0 °C,0:15,Auto,,,,,,,,,
Fast 7500 Mode,,,,,,,,,,,,,
Data Collection :  Stage 2 Step 3,,,,,,,,,,,,,
PCR Volume: 20 µL,,,,,,,,,,,,,
,,,,,,,,,,,,,
Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm,User Defined #1,User Defined #2,User Defined #3
A1,184,Rec_F1,Unknown,37.552,0.604,,,,,80.9,,,
A2,184,Rec_F1,Unknown,38.4055,0.604,,,,,80.9,,,
A3,192,Rec_F1,Unknown,Undetermined,,,,,,65.4,,,
A4,192,Rec_F1,Unknown,Undetermined,,,,,,64.8,,,
A5,200,Rec_F1,Unknown,Undetermined,,,,,,65.1,,,
A6,200,Rec_F1,Unknown,Undetermined,,,,,,68.4,,,
A7,208,Rec_F1,Unknown,Undetermined,,,,,,65.6,,,
A8,208,Rec_F1,Unknown,38.6221,,,,,,81.5,,,
A9,216,Rec_F1,Unknown,33.2993,0.432,,,,,81.2,,,
A10,216,Rec_F1,Unknown,33.9102,0.432,,,,,80.9,,,
A11,224,Rec_F1,Unknown,Undetermined,,,,,,65.6,,,
A12,224,Rec_F1,Unknown,Undetermined,,,,,,70.1,,,
B1,185,Rec_F1,Unknown,Undetermined,,,,,,65.9,,,
B2,185,Rec_F1,Unknown,Undetermined,,,,,,65.6,,,
B3,193,Rec_F1,Unknown,32.7171,0.0296,,,,,80.9,,,
B4,193,Rec_F1,Unknown,32.759,0.0296,,,,,80.9,,,
B5,201,Rec_F1,Unknown,39.4088,,,,,,81.5,,,
B6,201,Rec_F1,Unknown,Undetermined,,,,,,66.8,,,
B7,209,Rec_F1,Unknown,29.3877,0.269,,,,,81.2,,,
B8,209,Rec_F1,Unknown,29.7684,0.269,,,,,81.2,,,
B9,217,Rec_F1,Unknown,Undetermined,,,,,,65.9,,,
B10,217,Rec_F1,Unknown,Undetermined,,,,,,81.2,,,
B11,225,Rec_F1,Unknown,Undetermined,,,,,,65.6,,,
B12,225,Rec_F1,Unknown,Undetermined,,,,,,67,,,
C1,186,Rec_F1,Unknown,36.8811,0.249,,,,,80.9,,,
C2,186,Rec_F1,Unknown,36.5293,0.249,,,,,81.2,,,
C3,194,Rec_F1,Unknown,37.2034,0.934,,,,,81.2,,,
C4,194,Rec_F1,Unknown,38.5247,0.934,,,,,81.5,,,
C5,202,Rec_F1,Unknown,Undetermined,,,,,,64.8,,,
C6,202,Rec_F1,Unknown,Undetermined,,,,,,65.6,,,
C7,210,Rec_F1,Unknown,Undetermined,,,,,,64.8,,,
C8,210,Rec_F1,Unknown,38.2583,,,,,,81.5,,,
C9,218,Rec_F1,Unknown,Undetermined,,,,,,64.8,,,
C10,218,Rec_F1,Unknown,Undetermined,,,,,,65.9,,,
C11,226,Rec_F1,Unknown,Undetermined,,,,,,65.6,,,
C12,226,Rec_F1,Unknown,Undetermined,,,,,,81.5,,,
D1,187,Rec_F1,Unknown,Undetermined,,,,,,73.2,,,
D2,187,Rec_F1,Unknown,Undetermined,,,,,,65.6,,,
D3,195,Rec_F1,Unknown,Undetermined,,,,,,65.1,,,
D4,195,Rec_F1,Unknown,38.6919,,,,,,81.5,,,
D5,203,Rec_F1,Unknown,Undetermined,,,,,,66.5,,,
D6,203,Rec_F1,Unknown,39.0266,,,,,,81.8,,,
D7,211,Rec_F1,Unknown,26.5869,0.236,,,,,81.5,,,
D8,211,Rec_F1,Unknown,26.9203,0.236,,,,,81.2,,,
D9,219,Rec_F1,Unknown,Undetermined,,,,,,67,,,
D10,219,Rec_F1,Unknown,Undetermined,,,,,,65.6,,,
D11,227,Rec_F1,Unknown,Undetermined,,,,,,65.4,,,
D12,227,Rec_F1,Unknown,Undetermined,,,,,,65.6,,,
E1,188,Rec_F1,Unknown,Undetermined,,,,,,65.9,,,
E2,188,Rec_F1,Unknown,Undetermined,,,,,,64.8,,,
E3,196,Rec_F1,Unknown,Undetermined,,,,,,66.8,,,
E4,196,Rec_F1,Unknown,39.7821,,,,,,81.8,,,
E5,204,Rec_F1,Unknown,Undetermined,,,,,,66.8,,,
E6,204,Rec_F1,Unknown,Undetermined,,,,,,65.9,,,
E7,212,Rec_F1,Unknown,Undetermined,,,,,,66.5,,,
E8,212,Rec_F1,Unknown,Undetermined,,,,,,65.4,,,
E9,220,Rec_F1,Unknown,32.522,0.384,,,,,81.5,,,
E10,220,Rec_F1,Unknown,33.0645,0.384,,,,,81.5,,,
E11,228,Rec_F1,Unknown,Undetermined,,,,,,65.9,,,
E12,228,Rec_F1,Unknown,Undetermined,,,,,,81.5,,,
F1,189,Rec_F1,Unknown,Undetermined,,,,,,65.6,,,
F2,189,Rec_F1,Unknown,Undetermined,,,,,,66.5,,,
F3,197,Rec_F1,Unknown,38.9382,,,,,,81.5,,,
F4,197,Rec_F1,Unknown,Undetermined,,,,,,65.6,,,
F5,205,Rec_F1,Unknown,39.6123,,,,,,81.5,,,
F6,205,Rec_F1,Unknown,Undetermined,,,,,,64.8,,,
F7,213,Rec_F1,Unknown,Undetermined,,,,,,65.4,,,
