Document Name: Hopland_plate58_5-22-23 ,,,,,,,,,,,,,
Plate Type: Standard Curve,,,,,,,,,,,,,
User: EGF User,,,,,,,,,,,,,
,,,,,,,,,,,,,
Document Information,,,,,,,,,,,,,
,,,,,,,,,,,,,
Operator: EGF User,,,,,,,,,,,,,
Run Date: Monday, May 22, 2023 15:29:29,,,,,,,,,,,
Last Modified: Tuesday, May 23, 2023 10:27:53,,,,,,,,,,,
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System,,,,,,,,,,,,,
,,,,,,,,,,,,,
Comments:,,,,,,,,,,,,,
SDS v1.4,,,,,,,,,,,,,
,,,,,,,,,,,,,
Thermal Cycler Profile,,,,,,,,,,,,,
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment,,,,,,,,
1,1,95.0 °C,15:00,Auto,,,,,,,,,
2,40,95.0 °C,0:10,Auto,,,,,,,,,
,,60.0 °C,0:15,Auto,,,,,,,,,
,,72.0 °C,0:30,Auto,,,,,,,,,
3 (Dissociation),1,95.0 °C,0:15,Auto,,,,,,,,,
,,60.0 °C,1:00,Auto,,,,,,,,,
,,95.0 °C,0:15,Auto,,,,,,,,,
,,60.0 °C,0:15,Auto,,,,,,,,,
Fast 7500 Mode,,,,,,,,,,,,,
Data Collection :  Stage 2 Step 3,,,,,,,,,,,,,
PCR Volume: 20 µL,,,,,,,,,,,,,
,,,,,,,,,,,,,
Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm,User Defined #1,User Defined #2,User Defined #3
A1,183,Rec_F1,Unknown,Undetermined,,,,,,65.9,,,
A2,183,Rec_F1,Unknown,Undetermined,,,,,,66.2,,,
A3,191,Rec_F1,Unknown,Undetermined,,,,,,83.9,,,
A4,191,Rec_F1,Unknown,Undetermined,,,,,,65.1,,,
A5,d1_rec,Rec_F1,Unknown,17.2841,0.0542,,,,,81.1,,,
A6,d1_rec,Rec_F1,Unknown,17.3608,0.0542,,,,,81.1,,,
A7,d1_dox,Rec_F1,Unknown,17.4427,0.0526,,,,,84.3,,,
A8,d1_dox,Rec_F1,Unknown,17.5171,0.0526,,,,,83.9,,,
A9,je1_rec,Rec_F1,Unknown,16.9999,0.184,,,,,81.1,,,
A10,je1_rec,Rec_F1,Unknown,16.7394,0.184,,,,,80.9,,,
A11,je1_tra,Rec_F1,Unknown,18.2296,0.0864,,,,,81.7,,,
A12,je1_tra,Rec_F1,Unknown,18.1073,0.0864,,,,,81.7,,,
B1,184,Rec_F1,Unknown,Undetermined,,,,,,64.8,,,
B2,184,Rec_F1,Unknown,Undetermined,,,,,,65.1,,,
B3,192,Rec_F1,Unknown,Undetermined,,,,,,66.2,,,
B4,192,Rec_F1,Unknown,Undetermined,,,,,,66.2,,,
