Document Name: Hopland_plateXX_10-30-23 ,,,,,,,,,,,,,
Plate Type: Standard Curve,,,,,,,,,,,,,
User: EGF User,,,,,,,,,,,,,
,,,,,,,,,,,,,
Document Information,,,,,,,,,,,,,
,,,,,,,,,,,,,
Operator: EGF User,,,,,,,,,,,,,
Run Date: Monday, October 30, 2023 10:44:30,,,,,,,,,,,
Last Modified: Monday, October 30, 2023 12:27:15,,,,,,,,,,,
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System,,,,,,,,,,,,,
,,,,,,,,,,,,,
Comments:,,,,,,,,,,,,,
SDS v1.4,,,,,,,,,,,,,
,,,,,,,,,,,,,
Thermal Cycler Profile,,,,,,,,,,,,,
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment,,,,,,,,
1,1,95.0 °C,15:00,Auto,,,,,,,,,
2,40,95.0 °C,0:10,Auto,,,,,,,,,
,,60.0 °C,0:15,Auto,,,,,,,,,
,,72.0 °C,0:30,Auto,,,,,,,,,
3 (Dissociation),1,95.0 °C,0:15,Auto,,,,,,,,,
,,60.0 °C,1:00,Auto,,,,,,,,,
,,95.0 °C,0:15,Auto,,,,,,,,,
,,60.0 °C,0:15,Auto,,,,,,,,,
Fast 7500 Mode,,,,,,,,,,,,,
Data Collection :  Stage 2 Step 3,,,,,,,,,,,,,
PCR Volume: 20 µL,,,,,,,,,,,,,
,,,,,,,,,,,,,
Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm,User Defined #1,User Defined #2,User Defined #3
A1,1,Rec_F1,Unknown,Undetermined,,,,,,65.5,,,
A2,1,Rec_F1,Unknown,Undetermined,,,,,,64.7,,,
A3,9,Rec_F1,Unknown,Undetermined,,,,,,79.6,,,
A4,9,Rec_F1,Unknown,Undetermined,,,,,,79.9,,,
A5,17,Rec_F1,Unknown,Undetermined,,,,,,67.2,,,
A6,17,Rec_F1,Unknown,Undetermined,,,,,,65.5,,,
A7,25,Rec_F1,Unknown,Undetermined,,,,,,64.9,,,
A8,25,Rec_F1,Unknown,Undetermined,,,,,,66.1,,,
A9,33,Rec_F1,Unknown,Undetermined,,,,,,64.9,,,
A10,33,Rec_F1,Unknown,Undetermined,,,,,,64.7,,,
A11,43,Rec_F1,Unknown,Undetermined,,,,,,64.7,,,
A12,43,Rec_F1,Unknown,Undetermined,,,,,,65.8,,,
B1,2,Rec_F1,Unknown,Undetermined,,,,,,66.1,,,
B2,2,Rec_F1,Unknown,Undetermined,,,,,,64.7,,,
B3,10,Rec_F1,Unknown,Undetermined,,,,,,64.7,,,
B4,10,Rec_F1,Unknown,Undetermined,,,,,,66.1,,,
B5,18,Rec_F1,Unknown,Undetermined,,,,,,79.9,,,
B6,18,Rec_F1,Unknown,Undetermined,,,,,,64.7,,,
B7,26,Rec_F1,Unknown,Undetermined,,,,,,80.2,,,
B8,26,Rec_F1,Unknown,Undetermined,,,,,,64.7,,,
B9,34,Rec_F1,Unknown,Undetermined,,,,,,79.9,,,
B10,34,Rec_F1,Unknown,Undetermined,,,,,,64.9,,,
B11,44,Rec_F1,Unknown,Undetermined,,,,,,65.8,,,
