Document Name: HREC_plateXX_1-23-24 ,,,,,,,,,,,,,
Plate Type: Standard Curve,,,,,,,,,,,,,
User: EGF User,,,,,,,,,,,,,
,,,,,,,,,,,,,
Document Information,,,,,,,,,,,,,
,,,,,,,,,,,,,
Operator: EGF User,,,,,,,,,,,,,
Run Date: Monday, January 22, 2024 13:00:04,,,,,,,,,,,
Last Modified: Monday, January 22, 2024 15:36:54,,,,,,,,,,,
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System,,,,,,,,,,,,,
,,,,,,,,,,,,,
Comments:,,,,,,,,,,,,,
SDS v1.4,,,,,,,,,,,,,
,,,,,,,,,,,,,
Thermal Cycler Profile,,,,,,,,,,,,,
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment,,,,,,,,
1,1,95.0 °C,15:00,Auto,,,,,,,,,
2,40,95.0 °C,0:10,Auto,,,,,,,,,
,,60.0 °C,0:15,Auto,,,,,,,,,
,,72.0 °C,0:30,Auto,,,,,,,,,
3 (Dissociation),1,95.0 °C,0:15,Auto,,,,,,,,,
,,60.0 °C,1:00,Auto,,,,,,,,,
,,95.0 °C,0:15,Auto,,,,,,,,,
,,60.0 °C,0:15,Auto,,,,,,,,,
Fast 7500 Mode,,,,,,,,,,,,,
Data Collection :  Stage 2 Step 3,,,,,,,,,,,,,
PCR Volume: 20 µL,,,,,,,,,,,,,
,,,,,,,,,,,,,
Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm,User Defined #1,User Defined #2,User Defined #3
A1,231,Rec_F1,Unknown,Undetermined,,,,,,79.2,,,
A2,231,Rec_F1,Unknown,Undetermined,,,,,,79.5,,,
A3,239,Rec_F1,Unknown,Undetermined,,,,,,79.8,,,
A4,239,Rec_F1,Unknown,Undetermined,,,,,,79.8,,,
A5,247,Rec_F1,Unknown,Undetermined,,,,,,67.2,,,
A6,247,Rec_F1,Unknown,Undetermined,,,,,,79.8,,,
A7,255,Rec_F1,Unknown,Undetermined,,,,,,64.7,,,
A8,255,Rec_F1,Unknown,Undetermined,,,,,,66.4,,,
B1,232,Rec_F1,Unknown,Undetermined,,,,,,79.5,,,
B2,232,Rec_F1,Unknown,Undetermined,,,,,,79.8,,,
B3,240,Rec_F1,Unknown,Undetermined,,,,,,79.8,,,
B4,240,Rec_F1,Unknown,Undetermined,,,,,,79.8,,,
B5,248,Rec_F1,Unknown,Undetermined,,,,,,79.8,,,
B6,248,Rec_F1,Unknown,Undetermined,,,,,,80.1,,,
B7,256,Rec_F1,Unknown,Undetermined,,,,,,79.8,,,
B8,256,Rec_F1,Unknown,Undetermined,,,,,,79.8,,,
C1,233,Rec_F1,Unknown,Undetermined,,,,,,64.7,,,
C2,233,Rec_F1,Unknown,Undetermined,,,,,,65,,,
C3,241,Rec_F1,Unknown,Undetermined,,,,,,79.8,,,
C4,241,Rec_F1,Unknown,Undetermined,,,,,,80.1,,,
C5,249,Rec_F1,Unknown,Undetermined,,,,,,79.8,,,
C6,249,Rec_F1,Unknown,Undetermined,,,,,,80.1,,,
C7,257,Rec_F1,Unknown,Undetermined,,,,,,79.8,,,
C8,257,Rec_F1,Unknown,Undetermined,,,,,,79.8,,,
D1,234,Rec_F1,Unknown,Undetermined,,,,,,79.8,,,
D2,234,Rec_F1,Unknown,Undetermined,,,,,,67,,,
D3,242,Rec_F1,Unknown,Undetermined,,,,,,65.8,,,
D4,242,Rec_F1,Unknown,Undetermined,,,,,,79.8,,,
D5,250,Rec_F1,Unknown,Undetermined,,,,,,79.8,,,
D6,250,Rec_F1,Unknown,39.7152,,,,,,79.8,,,
D7,ntc,Rec_F1,Unknown,Undetermined,,,,,,80.1,,,
D8,ntc,Rec_F1,Unknown,Undetermined,,,,,,80.1,,,
E1,235,Rec_F1,Unknown,Undetermined,,,,,,79.5,,,
E2,235,Rec_F1,Unknown,Undetermined,,,,,,80.1,,,
E3,243,Rec_F1,Unknown,Undetermined,,,,,,79.8,,,
E4,243,Rec_F1,Unknown,Undetermined,,,,,,79.5,,,
E5,251,Rec_F1,Unknown,Undetermined,,,,,,65.5,,,
E6,251,Rec_F1,Unknown,Undetermined,,,,,,79.8,,,
E7,negative,Rec_F1,Unknown,Undetermined,,,,,,79.8,,,
E8,negative,Rec_F1,Unknown,Undetermined,,,,,,79.5,,,
F1,236,Rec_F1,Unknown,Undetermined,,,,,,67.5,,,
