Document Name: Hopland_plate45_02-14-23 ,,,,,,,,,,,,,
Plate Type: Standard Curve,,,,,,,,,,,,,
User: EGF User,,,,,,,,,,,,,
,,,,,,,,,,,,,
Document Information,,,,,,,,,,,,,
,,,,,,,,,,,,,
Operator: EGF User,,,,,,,,,,,,,
Run Date: Tuesday, February 14, 2023 15:37:59,,,,,,,,,,,
Last Modified: Wednesday, February 15, 2023 10:03:53,,,,,,,,,,,
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System,,,,,,,,,,,,,
,,,,,,,,,,,,,
Comments:,,,,,,,,,,,,,
SDS v1.4,,,,,,,,,,,,,
,,,,,,,,,,,,,
Thermal Cycler Profile,,,,,,,,,,,,,
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment,,,,,,,,
1,1,95.0 °C,15:00,Auto,,,,,,,,,
2,40,95.0 °C,0:10,Auto,,,,,,,,,
,,60.0 °C,0:15,Auto,,,,,,,,,
,,72.0 °C,0:30,Auto,,,,,,,,,
3 (Dissociation),1,95.0 °C,0:15,Auto,,,,,,,,,
,,60.0 °C,1:00,Auto,,,,,,,,,
,,95.0 °C,0:15,Auto,,,,,,,,,
,,60.0 °C,0:15,Auto,,,,,,,,,
Fast 7500 Mode,,,,,,,,,,,,,
Data Collection :  Stage 2 Step 3,,,,,,,,,,,,,
PCR Volume: 20 µL,,,,,,,,,,,,,
,,,,,,,,,,,,,
Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm,User Defined #1,User Defined #2,User Defined #3
A1,172,Rec_F1,Unknown,37.1378,0.0644,,,,,80.3,,,
A2,172,Rec_F1,Unknown,37.0467,0.0644,,,,,80.3,,,
A3,180,Rec_F1,Unknown,Undetermined,,,,,,66.6,,,
A4,180,Rec_F1,Unknown,Undetermined,,,,,,66.1,,,
A5,188,Rec_F1,Unknown,Undetermined,,,,,,67.5,,,
A6,188,Rec_F1,Unknown,Undetermined,,,,,,66.1,,,
A7,196,Rec_F1,Unknown,34.2547,0.117,,,,,80.5,,,
A8,196,Rec_F1,Unknown,34.4199,0.117,,,,,80.5,,,
A9,204,Rec_F1,Unknown,Undetermined,,,,,,65,,,
A10,204,Rec_F1,Unknown,Undetermined,,,,,,66.6,,,
A11,212,Rec_F1,Unknown,Undetermined,,,,,,65.5,,,
A12,212,Rec_F1,Unknown,Undetermined,,,,,,65,,,
B1,173,Rec_F1,Unknown,Undetermined,,,,,,71.1,,,
B2,173,Rec_F1,Unknown,Undetermined,,,,,,66.1,,,
B3,181,Rec_F1,Unknown,Undetermined,,,,,,68.1,,,
B4,181,Rec_F1,Unknown,Undetermined,,,,,,65,,,
B5,189,Rec_F1,Unknown,Undetermined,,,,,,65.5,,,
B6,189,Rec_F1,Unknown,Undetermined,,,,,,67.2,,,
B7,197,Rec_F1,Unknown,Undetermined,,,,,,65,,,
B8,197,Rec_F1,Unknown,Undetermined,,,,,,65,,,
B9,205,Rec_F1,Unknown,Undetermined,,,,,,65,,,
B10,205,Rec_F1,Unknown,Undetermined,,,,,,65,,,
B11,213,Rec_F1,Unknown,Undetermined,,,,,,65,,,
B12,213,Rec_F1,Unknown,Undetermined,,,,,,68.3,,,
C1,174,Rec_F1,Unknown,Undetermined,,,,,,65,,,
C2,174,Rec_F1,Unknown,Undetermined,,,,,,65,,,
C3,182,Rec_F1,Unknown,33.7864,0.0592,,,,,80.5,,,
C4,182,Rec_F1,Unknown,33.87,0.0592,,,,,80.5,,,
C5,190,Rec_F1,Unknown,Undetermined,,,,,,65.2,,,
C6,190,Rec_F1,Unknown,Undetermined,,,,,,65,,,
C7,198,Rec_F1,Unknown,Undetermined,,,,,,65.2,,,
C8,198,Rec_F1,Unknown,Undetermined,,,,,,65.5,,,
C9,206,Rec_F1,Unknown,34.2472,,,,,,80.8,,,
C10,206,Rec_F1,Unknown,Undetermined,,,,,,68.1,,,
C11,214,Rec_F1,Unknown,27.4768,0.108,,,,,80.5,,,
C12,214,Rec_F1,Unknown,27.6292,0.108,,,,,80.5,,,
D1,175,Rec_F1,Unknown,31.5357,0.00683,,,,,80.5,,,
D2,175,Rec_F1,Unknown,31.5454,0.00683,,,,,80.8,,,
D3,183,Rec_F1,Unknown,Undetermined,,,,,,68.1,,,
D4,183,Rec_F1,Unknown,Undetermined,,,,,,66.9,,,
D5,191,Rec_F1,Unknown,Undetermined,,,,,,68.3,,,
D6,191,Rec_F1,Unknown,Undetermined,,,,,,68.3,,,
D7,199,Rec_F1,Unknown,35.2205,0.123,,,,,80.8,,,
D8,199,Rec_F1,Unknown,35.0468,0.123,,,,,80.8,,,
D9,207,Rec_F1,Unknown,Undetermined,,,,,,66.1,,,
D10,207,Rec_F1,Unknown,Undetermined,,,,,,68.3,,,
D11,215,Rec_F1,Unknown,Undetermined,,,,,,67.8,,,
D12,215,Rec_F1,Unknown,Undetermined,,,,,,65.8,,,
E1,176,Rec_F1,Unknown,Undetermined,,,,,,67.8,,,
E2,176,Rec_F1,Unknown,Undetermined,,,,,,65.2,,,
E3,184,Rec_F1,Unknown,Undetermined,,,,,,66.4,,,
E4,184,Rec_F1,Unknown,Undetermined,,,,,,66.1,,,
E5,192,Rec_F1,Unknown,Undetermined,,,,,,65,,,
E6,192,Rec_F1,Unknown,Undetermined,,,,,,65,,,
E7,200,Rec_F1,Unknown,Undetermined,,,,,,66.1,,,
E8,200,Rec_F1,Unknown,Undetermined,,,,,,65.2,,,
E9,208,Rec_F1,Unknown,Undetermined,,,,,,66.1,,,
E10,208,Rec_F1,Unknown,Undetermined,,,,,,65,,,
E11,216,Rec_F1,Unknown,29.1304,0.124,,,,,80.8,,,
E12,216,Rec_F1,Unknown,29.3063,0.124,,,,,80.5,,,
F1,177,Rec_F1,Unknown,36.3109,0.174,,,,,80.5,,,
F2,177,Rec_F1,Unknown,36.065,0.174,,,,,80.5,,,
F3,185,Rec_F1,Unknown,Undetermined,,,,,,66.9,,,
F4,185,Rec_F1,Unknown,Undetermined,,,,,,65,,,
F5,193,Rec_F1,Unknown,Undetermined,,,,,,65.5,,,
F6,193,Rec_F1,Unknown,Undetermined,,,,,,65.8,,,
F7,201,Rec_F1,Unknown,Undetermined,,,,,,65,,,
F8,201,Rec_F1,Unknown,Undetermined,,,,,,65.5,,,
F9,209,Rec_F1,Unknown,Undetermined,,,,,,65.8,,,
F10,209,Rec_F1,Unknown,Undetermined,,,,,,65,,,
F11,ntc,Rec_F1,Unknown,Undetermined,,,,,,65.2,,,
F12,ntc,Rec_F1,Unknown,Undetermined,,,,,,65.8,,,
G1,178,Rec_F1,Unknown,34.6994,0.0169,,,,,80.3,,,
G2,178,Rec_F1,Unknown,34.7234,0.0169,,,,,80.5,,,
G3,186,Rec_F1,Unknown,Undetermined,,,,,,66.1,,,
G4,186,Rec_F1,Unknown,Undetermined,,,,,,66.1,,,
G5,194,Rec_F1,Unknown,Undetermined,,,,,,65,,,
G6,194,Rec_F1,Unknown,Undetermined,,,,,,65,,,
G7,202,Rec_F1,Unknown,Undetermined,,,,,,66.1,,,
G8,202,Rec_F1,Unknown,Undetermined,,,,,,65,,,
G9,210,Rec_F1,Unknown,36.1361,,,,,,80.8,,,
G10,210,Rec_F1,Unknown,Undetermined,,,,,,65,,,
G11,negative,Rec_F1,Unknown,Undetermined,,,,,,65.8,,,
G12,negative,Rec_F1,Unknown,Undetermined,,,,,,67.5,,,
H1,179,Rec_F1,Unknown,36.6157,0.715,,,,,80,,,
H2,179,Rec_F1,Unknown,37.6268,0.715,,,,,80.3,,,
H3,187,Rec_F1,Unknown,Undetermined,,,,,,65,,,
H4,187,Rec_F1,Unknown,Undetermined,,,,,,67.5,,,
H5,195,Rec_F1,Unknown,Undetermined,,,,,,68.6,,,
H6,195,Rec_F1,Unknown,Undetermined,,,,,,65,,,
