Document Name: Hopland_plate22_03-15-22 ,,,,,,,,,,,,,
Plate Type: Standard Curve,,,,,,,,,,,,,
User: EGF User,,,,,,,,,,,,,
,,,,,,,,,,,,,
Document Information,,,,,,,,,,,,,
,,,,,,,,,,,,,
Operator: EGF User,,,,,,,,,,,,,
Run Date: Tuesday, March 15, 2022 13:08:29,,,,,,,,,,,
Last Modified: Tuesday, March 15, 2022 14:43:18,,,,,,,,,,,
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System,,,,,,,,,,,,,
,,,,,,,,,,,,,
Comments:,,,,,,,,,,,,,
SDS v1.4,,,,,,,,,,,,,
,,,,,,,,,,,,,
Thermal Cycler Profile,,,,,,,,,,,,,
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment,,,,,,,,
1,1,95.0 °C,15:00,Auto,,,,,,,,,
2,40,95.0 °C,0:10,Auto,,,,,,,,,
,,60.0 °C,0:15,Auto,,,,,,,,,
,,72.0 °C,0:30,Auto,,,,,,,,,
3 (Dissociation),1,95.0 °C,0:15,Auto,,,,,,,,,
,,60.0 °C,1:00,Auto,,,,,,,,,
,,95.0 °C,0:15,Auto,,,,,,,,,
,,60.0 °C,0:15,Auto,,,,,,,,,
Fast 7500 Mode,,,,,,,,,,,,,
Data Collection :  Stage 2 Step 3,,,,,,,,,,,,,
PCR Volume: 20 µL,,,,,,,,,,,,,
,,,,,,,,,,,,,
Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm,User Defined #1,User Defined #2,User Defined #3
A1,3,Rec_F1,Unknown,29.4983,0.135,,,,,80.9,,,
A2,3,Rec_F1,Unknown,29.6899,0.135,,,,,81.2,,,
A3,13,Rec_F1,Unknown,Undetermined,,,,,,66.3,,,
A4,13,Rec_F1,Unknown,Undetermined,,,,,,65.4,,,
A5,22,Rec_F1,Unknown,Undetermined,,,,,,69.3,,,
A6,22,Rec_F1,Unknown,Undetermined,,,,,,73.8,,,
A7,30,Rec_F1,Unknown,39.4808,,,,,,81.5,,,
A8,30,Rec_F1,Unknown,Undetermined,,,,,,74.7,,,
A9,38,Rec_F1,Unknown,Undetermined,,,,,,69.3,,,
A10,38,Rec_F1,Unknown,Undetermined,,,,,,67.9,,,
A11,46,Rec_F1,Unknown,Undetermined,,,,,,74.4,,,
A12,46,Rec_F1,Unknown,Undetermined,,,,,,73.8,,,
B1,4,Rec_F1,Unknown,32.4388,0.329,,,,,81.2,,,
B2,4,Rec_F1,Unknown,31.9742,0.329,,,,,81.2,,,
B3,14,Rec_F1,Unknown,30.8387,0.132,,,,,81.2,,,
B4,14,Rec_F1,Unknown,31.0252,0.132,,,,,81.5,,,
B5,23,Rec_F1,Unknown,Undetermined,,,,,,65.7,,,
B6,23,Rec_F1,Unknown,Undetermined,,,,,,65.7,,,
B7,31,Rec_F1,Unknown,38.827,,,,,,81.8,,,
B8,31,Rec_F1,Unknown,Undetermined,,,,,,74.7,,,
B9,39,Rec_F1,Unknown,27.4109,0.181,,,,,81.5,,,
B10,39,Rec_F1,Unknown,27.6663,0.181,,,,,81.5,,,
B11,47,Rec_F1,Unknown,Undetermined,,,,,,71.3,,,
B12,47,Rec_F1,Unknown,37.4664,,,,,,81.2,,,
C1,6,Rec_F1,Unknown,Undetermined,,,,,,64.9,,,
C2,6,Rec_F1,Unknown,Undetermined,,,,,,70.8,,,
C3,16,Rec_F1,Unknown,Undetermined,,,,,,65.7,,,
C4,16,Rec_F1,Unknown,38.2548,,,,,,81.8,,,
C5,24,Rec_F1,Unknown,Undetermined,,,,,,69.3,,,
C6,24,Rec_F1,Unknown,37.8583,,,,,,81.8,,,
C7,32,Rec_F1,Unknown,39.0975,,,,,,82.1,,,
C8,32,Rec_F1,Unknown,Undetermined,,,,,,75,,,
C9,40,Rec_F1,Unknown,28.3803,0.133,,,,,81.5,,,
C10,40,Rec_F1,Unknown,28.5686,0.133,,,,,81.5,,,
C11,48,Rec_F1,Unknown,Undetermined,,,,,,65.7,,,
C12,48,Rec_F1,Unknown,Undetermined,,,,,,81.8,,,
D1,7,Rec_F1,Unknown,39.1506,,,,,,81.8,,,
D2,7,Rec_F1,Unknown,Undetermined,,,,,,64.9,,,
D3,17,Rec_F1,Unknown,36.3171,0.191,,,,,81.8,,,
D4,17,Rec_F1,Unknown,36.0473,0.191,,,,,81.8,,,
D5,25,Rec_F1,Unknown,31.665,4.39,,,,,81.2,,,
D6,25,Rec_F1,Unknown,25.4593,4.39,,,,,81.5,,,
D7,33,Rec_F1,Unknown,38.0437,0.151,,,,,82.1,,,
D8,33,Rec_F1,Unknown,38.257,0.151,,,,,82.1,,,
D9,41,Rec_F1,Unknown,28.0064,0.219,,,,,81.8,,,
D10,41,Rec_F1,Unknown,28.3161,0.219,,,,,81.5,,,
D11,49,Rec_F1,Unknown,Undetermined,,,,,,75,,,
D12,49,Rec_F1,Unknown,Undetermined,,,,,,66.5,,,
E1,8,Rec_F1,Unknown,39.2945,,,,,,81.8,,,
E2,8,Rec_F1,Unknown,Undetermined,,,,,,66,,,
E3,18,Rec_F1,Unknown,33.1832,0.0352,,,,,81.8,,,
E4,18,Rec_F1,Unknown,33.1334,0.0352,,,,,81.8,,,
E5,26,Rec_F1,Unknown,38.9051,1.08,,,,,81.8,,,
E6,26,Rec_F1,Unknown,37.3776,1.08,,,,,82.1,,,
E7,34,Rec_F1,Unknown,Undetermined,,,,,,64.9,,,
E8,34,Rec_F1,Unknown,Undetermined,,,,,,64.9,,,
E9,42,Rec_F1,Unknown,28.0191,0.0284,,,,,81.8,,,
E10,42,Rec_F1,Unknown,27.979,0.0284,,,,,81.8,,,
E11,50,Rec_F1,Unknown,29.6506,0.926,,,,,81.5,,,
E12,50,Rec_F1,Unknown,30.9597,0.926,,,,,81.2,,,
F1,9,Rec_F1,Unknown,39.0786,,,,,,81.5,,,
F2,9,Rec_F1,Unknown,Undetermined,,,,,,68.8,,,
F3,19,Rec_F1,Unknown,Undetermined,,,,,,68.8,,,
F4,19,Rec_F1,Unknown,Undetermined,,,,,,66,,,
F5,27,Rec_F1,Unknown,Undetermined,,,,,,64.9,,,
F6,27,Rec_F1,Unknown,Undetermined,,,,,,65.1,,,
F7,35,Rec_F1,Unknown,Undetermined,,,,,,64.9,,,
F8,35,Rec_F1,Unknown,Undetermined,,,,,,66,,,
F9,43,Rec_F1,Unknown,36.8826,,,,,,81.8,,,
F10,43,Rec_F1,Unknown,Undetermined,,,,,,65.1,,,
F11,ntc,Rec_F1,Unknown,Undetermined,,,,,,68.8,,,
F12,ntc,Rec_F1,Unknown,Undetermined,,,,,,65.7,,,
G1,10,Rec_F1,Unknown,Undetermined,,,,,,69.1,,,
G2,10,Rec_F1,Unknown,Undetermined,,,,,,65.1,,,
G3,20,Rec_F1,Unknown,38.1158,,,,,,81.5,,,
G4,20,Rec_F1,Unknown,Undetermined,,,,,,64.9,,,
G5,28,Rec_F1,Unknown,31.1029,0.0133,,,,,81.2,,,
G6,28,Rec_F1,Unknown,31.0841,0.0133,,,,,81.5,,,
G7,36,Rec_F1,Unknown,Undetermined,,,,,,65.7,,,
G8,36,Rec_F1,Unknown,Undetermined,,,,,,65.1,,,
G9,44,Rec_F1,Unknown,Undetermined,,,,,,65.7,,,
G10,44,Rec_F1,Unknown,37.3179,,,,,,81.5,,,
G11,negative,Rec_F1,Unknown,Undetermined,,,,,,66,,,
G12,negative,Rec_F1,Unknown,Undetermined,,,,,,64.9,,,
H1,11,Rec_F1,Unknown,Undetermined,,,,,,66.5,,,
H2,11,Rec_F1,Unknown,Undetermined,,,,,,64.9,,,
H3,21,Rec_F1,Unknown,Undetermined,,,,,,64.9,,,
H4,21,Rec_F1,Unknown,Undetermined,,,,,,64.9,,,
H5,29,Rec_F1,Unknown,Undetermined,,,,,,64.9,,,
H6,29,Rec_F1,Unknown,Undetermined,,,,,,64.9,,,
H7,37,Rec_F1,Unknown,39.2405,,,,,,81.5,,,
H8,37,Rec_F1,Unknown,Undetermined,,,,,,64.9,,,
H9,45,Rec_F1,Unknown,27.9322,0.209,,,,,81.2,,,
H10,45,Rec_F1,Unknown,28.2271,0.209,,,,,81.2,,,
H11,positive,Rec_F1,Unknown,24.3296,0.0558,,,,,80.9,,,
H12,positive,Rec_F1,Unknown,24.4085,0.0558,,,,,80.9,,,
