Document Name: hopland_plate15_2-11-2022 ,,,,,,,,,,,,,
Plate Type: Standard Curve,,,,,,,,,,,,,
User: EGF User,,,,,,,,,,,,,
,,,,,,,,,,,,,
Document Information,,,,,,,,,,,,,
,,,,,,,,,,,,,
Operator: EGF User,,,,,,,,,,,,,
Run Date: Friday, February 11, 2022 10:50:24,,,,,,,,,,,
Last Modified: Friday, February 11, 2022 13:05:23,,,,,,,,,,,
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System,,,,,,,,,,,,,
,,,,,,,,,,,,,
Comments:,,,,,,,,,,,,,
SDS v1.4,,,,,,,,,,,,,
,,,,,,,,,,,,,
Thermal Cycler Profile,,,,,,,,,,,,,
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment,,,,,,,,
1,1,95.0 °C,15:00,Auto,,,,,,,,,
2,40,95.0 °C,0:10,Auto,,,,,,,,,
,,60.0 °C,0:15,Auto,,,,,,,,,
,,72.0 °C,0:30,Auto,,,,,,,,,
3 (Dissociation),1,95.0 °C,0:15,Auto,,,,,,,,,
,,60.0 °C,1:00,Auto,,,,,,,,,
,,95.0 °C,0:15,Auto,,,,,,,,,
,,60.0 °C,0:15,Auto,,,,,,,,,
Fast 7500 Mode,,,,,,,,,,,,,
Data Collection :  Stage 2 Step 3,,,,,,,,,,,,,
PCR Volume: 20 µL,,,,,,,,,,,,,
,,,,,,,,,,,,,
Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm,User Defined #1,User Defined #2,User Defined #3
A1,3,Rec_F1,Unknown,Undetermined,,,,,,66.4,,,
A2,3,Rec_F1,Unknown,Undetermined,,,,,,68.6,,,
A3,11,Rec_F1,Unknown,Undetermined,,,,,,73.1,,,
A4,11,Rec_F1,Unknown,Undetermined,,,,,,65,,,
A5,19,Rec_F1,Unknown,25.1838,0.0371,,,,,80.5,,,
A6,19,Rec_F1,Unknown,25.2363,0.0371,,,,,80.5,,,
A7,27,Rec_F1,Unknown,36.988,,,,,,80.8,,,
A8,27,Rec_F1,Unknown,Undetermined,,,,,,66.6,,,
A9,35,Rec_F1,Unknown,31.143,0.0145,,,,,80.5,,,
A10,35,Rec_F1,Unknown,31.1636,0.0145,,,,,80.5,,,
A11,43,Rec_F1,Unknown,Undetermined,,,,,,65.8,,,
A12,43,Rec_F1,Unknown,Undetermined,,,,,,72.6,,,
B1,4,Rec_F1,Unknown,Undetermined,,,,,,65.8,,,
B2,4,Rec_F1,Unknown,38.9674,,,,,,80.5,,,
B3,12,Rec_F1,Unknown,Undetermined,,,,,,65,,,
B4,12,Rec_F1,Unknown,Undetermined,,,,,,66.9,,,
B5,20,Rec_F1,Unknown,24.8035,0.0051,,,,,80.8,,,
B6,20,Rec_F1,Unknown,24.8107,0.0051,,,,,80.8,,,
B7,28,Rec_F1,Unknown,39.456,,,,,,81,,,
B8,28,Rec_F1,Unknown,Undetermined,,,,,,68,,,
B9,36,Rec_F1,Unknown,30.9239,0.113,,,,,80.8,,,
B10,36,Rec_F1,Unknown,30.7642,0.113,,,,,80.8,,,
B11,44,Rec_F1,Unknown,37.3351,0.139,,,,,80.8,,,
B12,44,Rec_F1,Unknown,37.5316,0.139,,,,,80.5,,,
C1,5,Rec_F1,Unknown,32.3957,0.0365,,,,,80.5,,,
C2,5,Rec_F1,Unknown,32.3441,0.0365,,,,,80.5,,,
C3,13,Rec_F1,Unknown,Undetermined,,,,,,65.8,,,
C4,13,Rec_F1,Unknown,Undetermined,,,,,,71.4,,,
C5,21,Rec_F1,Unknown,24.1415,0.0823,,,,,80.8,,,
C6,21,Rec_F1,Unknown,24.258,0.0823,,,,,80.8,,,
C7,29,Rec_F1,Unknown,25.3518,0.0422,,,,,80.8,,,
C8,29,Rec_F1,Unknown,25.4115,0.0422,,,,,80.8,,,
