Document Name: Hopland_plate39_11-02-22 ,,,,,,,,,,,,,
Plate Type: Standard Curve,,,,,,,,,,,,,
User: EGF User,,,,,,,,,,,,,
,,,,,,,,,,,,,
Document Information,,,,,,,,,,,,,
,,,,,,,,,,,,,
Operator: EGF User,,,,,,,,,,,,,
Run Date: Wednesday, November 02, 2022 09:50:23,,,,,,,,,,,
Last Modified: Wednesday, November 02, 2022 15:25:33,,,,,,,,,,,
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System,,,,,,,,,,,,,
,,,,,,,,,,,,,
Comments:,,,,,,,,,,,,,
SDS v1.4,,,,,,,,,,,,,
,,,,,,,,,,,,,
Thermal Cycler Profile,,,,,,,,,,,,,
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment,,,,,,,,
1,1,95.0 °C,15:00,Auto,,,,,,,,,
2,40,95.0 °C,0:10,Auto,,,,,,,,,
,,60.0 °C,0:15,Auto,,,,,,,,,
,,72.0 °C,0:30,Auto,,,,,,,,,
3 (Dissociation),1,95.0 °C,0:15,Auto,,,,,,,,,
,,60.0 °C,1:00,Auto,,,,,,,,,
,,95.0 °C,0:15,Auto,,,,,,,,,
,,60.0 °C,0:15,Auto,,,,,,,,,
Fast 7500 Mode,,,,,,,,,,,,,
Data Collection :  Stage 2 Step 3,,,,,,,,,,,,,
PCR Volume: 20 µL,,,,,,,,,,,,,
,,,,,,,,,,,,,
Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm,User Defined #1,User Defined #2,User Defined #3
A1,1,Rec_F1,Unknown,36.2442,1.15,,,,,80.8,,,
A2,1,Rec_F1,Unknown,34.6157,1.15,,,,,80.8,,,
A3,9,Rec_F1,Unknown,Undetermined,,,,,,65.3,,,
A4,9,Rec_F1,Unknown,Undetermined,,,,,,66.4,,,
A5,17,Rec_F1,Unknown,36.7539,0.515,,,,,81.1,,,
A6,17,Rec_F1,Unknown,36.0262,0.515,,,,,81.4,,,
A7,25,Rec_F1,Unknown,Undetermined,,,,,,65,,,
A8,25,Rec_F1,Unknown,36.9469,,,,,,81.4,,,
A9,34,Rec_F1,Unknown,Undetermined,,,,,,66.1,,,
A10,34,Rec_F1,Unknown,Undetermined,,,,,,65.6,,,
A11,42,Rec_F1,Unknown,Undetermined,,,,,,64.8,,,
A12,42,Rec_F1,Unknown,Undetermined,,,,,,66.4,,,
B1,2,Rec_F1,Unknown,29.7019,0.0854,,,,,80.8,,,
B2,2,Rec_F1,Unknown,29.5811,0.0854,,,,,80.8,,,
B3,10,Rec_F1,Unknown,Undetermined,,,,,,65.6,,,
B4,10,Rec_F1,Unknown,Undetermined,,,,,,64.8,,,
B5,18,Rec_F1,Unknown,33.691,0.468,,,,,81.4,,,
B6,18,Rec_F1,Unknown,34.3525,0.468,,,,,81.4,,,
B7,26,Rec_F1,Unknown,26.3789,0.15,,,,,81.1,,,
B8,26,Rec_F1,Unknown,26.5917,0.15,,,,,81.1,,,
B9,35,Rec_F1,Unknown,Undetermined,,,,,,65.3,,,
B10,35,Rec_F1,Unknown,Undetermined,,,,,,64.8,,,
B11,43,Rec_F1,Unknown,Undetermined,,,,,,65.9,,,
B12,43,Rec_F1,Unknown,37.5269,,,,,,81.4,,,
C1,3,Rec_F1,Unknown,36.1408,,,,,,81.1,,,
C2,3,Rec_F1,Unknown,Undetermined,,,,,,64.8,,,
C3,11,Rec_F1,Unknown,27.5667,0.143,,,,,81.1,,,
C4,11,Rec_F1,Unknown,27.3645,0.143,,,,,81.1,,,
C5,19,Rec_F1,Unknown,35.6139,0.357,,,,,81.4,,,
C6,19,Rec_F1,Unknown,36.1189,0.357,,,,,81.4,,,
C7,27,Rec_F1,Unknown,29.5535,0.0453,,,,,81.4,,,
C8,27,Rec_F1,Unknown,29.4894,0.0453,,,,,81.4,,,
C9,36,Rec_F1,Unknown,37.0815,,,,,,81.4,,,
C10,36,Rec_F1,Unknown,Undetermined,,,,,Noisy BL,65,,,
C11,44,Rec_F1,Unknown,32.5472,1.67,,,,,81.4,,,
C12,44,Rec_F1,Unknown,34.905,1.67,,,,,81.1,,,
D1,4,Rec_F1,Unknown,36.9666,,,,,,81.4,,,
D2,4,Rec_F1,Unknown,Undetermined,,,,,,66.4,,,
D3,12,Rec_F1,Unknown,25.5539,0.132,,,,,81.4,,,
D4,12,Rec_F1,Unknown,25.3676,0.132,,,,,81.4,,,
D5,20,Rec_F1,Unknown,26.2768,0.0097,,,,,81.1,,,
D6,20,Rec_F1,Unknown,26.2631,0.0097,,,,,81.4,,,
D7,28,Rec_F1,Unknown,26.3399,0.157,,,,,81.4,,,
D8,28,Rec_F1,Unknown,26.5614,0.157,,,,,81.4,,,
D9,37,Rec_F1,Unknown,29.6794,0.112,,,,,81.4,,,
D10,37,Rec_F1,Unknown,29.8383,0.112,,,,,81.4,,,
D11,45,Rec_F1,Unknown,Undetermined,,,,,,64.8,,,
D12,45,Rec_F1,Unknown,Undetermined,,,,,,64.8,,,
E1,5,Rec_F1,Unknown,31.4904,0.275,,,,,81.1,,,
E2,5,Rec_F1,Unknown,31.1015,0.275,,,,,81.4,,,
E3,13,Rec_F1,Unknown,26.1756,0.00216,,,,,81.4,,,
E4,13,Rec_F1,Unknown,26.1725,0.00216,,,,,81.4,,,
E5,21,Rec_F1,Unknown,36.297,,,,,,81.6,,,
E6,21,Rec_F1,Unknown,Undetermined,,,,,,64.8,,,
E7,29,Rec_F1,Unknown,36.2121,,,,,,81.6,,,
E8,29,Rec_F1,Unknown,Undetermined,,,,,,65.6,,,
E9,38,Rec_F1,Unknown,Undetermined,,,,,,68.7,,,
E10,38,Rec_F1,Unknown,35.8974,,,,,,81.4,,,
E11,46,Rec_F1,Unknown,Undetermined,,,,,,66.7,,,
E12,46,Rec_F1,Unknown,36.4138,,,,,,81.4,,,
F1,6,Rec_F1,Unknown,37.5168,,,,,,81.1,,,
F2,6,Rec_F1,Unknown,Undetermined,,,,,,65.3,,,
F3,14,Rec_F1,Unknown,25.6471,0.0915,,,,,81.1,,,
