Document Name: Hopland_Plate_48_3-2-2023 ,,,,,,,,,,,,,
Plate Type: Standard Curve,,,,,,,,,,,,,
User: EGF User,,,,,,,,,,,,,
,,,,,,,,,,,,,
Document Information,,,,,,,,,,,,,
,,,,,,,,,,,,,
Operator: EGF User,,,,,,,,,,,,,
Run Date: Thursday, March 02, 2023 10:45:18,,,,,,,,,,,
Last Modified: Thursday, March 02, 2023 12:19:57,,,,,,,,,,,
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System,,,,,,,,,,,,,
,,,,,,,,,,,,,
Comments:,,,,,,,,,,,,,
SDS v1.4,,,,,,,,,,,,,
,,,,,,,,,,,,,
Thermal Cycler Profile,,,,,,,,,,,,,
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment,,,,,,,,
1,1,95.0 °C,15:00,Auto,,,,,,,,,
2,40,95.0 °C,0:10,Auto,,,,,,,,,
,,60.0 °C,0:15,Auto,,,,,,,,,
,,72.0 °C,0:30,Auto,,,,,,,,,
3 (Dissociation),1,95.0 °C,0:15,Auto,,,,,,,,,
,,60.0 °C,1:00,Auto,,,,,,,,,
,,95.0 °C,0:15,Auto,,,,,,,,,
,,60.0 °C,0:15,Auto,,,,,,,,,
Fast 7500 Mode,,,,,,,,,,,,,
Data Collection :  Stage 2 Step 3,,,,,,,,,,,,,
PCR Volume: 20 µL,,,,,,,,,,,,,
,,,,,,,,,,,,,
Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm,User Defined #1,User Defined #2,User Defined #3
A1,58,Rec_F1,Unknown,Undetermined,,,,,,66,,,
A2,58,Rec_F1,Unknown,Undetermined,,,,,,64.9,,,
A3,66,Rec_F1,Unknown,30.2677,0.223,,,,,80.1,,,
A4,66,Rec_F1,Unknown,30.5835,0.223,,,,,80.1,,,
A5,74,Rec_F1,Unknown,Undetermined,,,,,,65.7,,,
A6,74,Rec_F1,Unknown,Undetermined,,,,,,66.3,,,
A7,82,Rec_F1,Unknown,Undetermined,,,,,,65.1,,,
A8,82,Rec_F1,Unknown,Undetermined,,,,,,64.9,,,
A9,90,Rec_F1,Unknown,Undetermined,,,,,,66.8,,,
