Document Name: Hopland_plate49_03-10-23 ,,,,,,,,,,,,,
Plate Type: Standard Curve,,,,,,,,,,,,,
User: EGF User,,,,,,,,,,,,,
,,,,,,,,,,,,,
Document Information,,,,,,,,,,,,,
,,,,,,,,,,,,,
Operator: EGF User,,,,,,,,,,,,,
Run Date: Friday, March 10, 2023 14:47:01,,,,,,,,,,,
Last Modified: Friday, March 10, 2023 16:44:19,,,,,,,,,,,
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System,,,,,,,,,,,,,
,,,,,,,,,,,,,
Comments:,,,,,,,,,,,,,
SDS v1.4,,,,,,,,,,,,,
,,,,,,,,,,,,,
Thermal Cycler Profile,,,,,,,,,,,,,
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment,,,,,,,,
1,1,95.0 °C,15:00,Auto,,,,,,,,,
2,40,95.0 °C,0:10,Auto,,,,,,,,,
,,60.0 °C,0:15,Auto,,,,,,,,,
,,72.0 °C,0:30,Auto,,,,,,,,,
3 (Dissociation),1,95.0 °C,0:15,Auto,,,,,,,,,
,,60.0 °C,1:00,Auto,,,,,,,,,
,,95.0 °C,0:15,Auto,,,,,,,,,
,,60.0 °C,0:15,Auto,,,,,,,,,
Fast 7500 Mode,,,,,,,,,,,,,
Data Collection :  Stage 2 Step 3,,,,,,,,,,,,,
PCR Volume: 20 µL,,,,,,,,,,,,,
,,,,,,,,,,,,,
Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm,User Defined #1,User Defined #2,User Defined #3
A1,93,Rec_F1,Unknown,Undetermined,,,,,,68.2,,,
A2,93,Rec_F1,Unknown,39.2165,,,,,,80.4,,,
A3,102,Rec_F1,Unknown,Undetermined,,,,,,69.6,,,
A4,102,Rec_F1,Unknown,Undetermined,,,,,,67.9,,,
A5,110,Rec_F1,Unknown,Undetermined,,,,,,66.7,,,
A6,110,Rec_F1,Unknown,Undetermined,,,,,,67.9,,,
A7,118,Rec_F1,Unknown,27.7591,0.23,,,,,80.4,,,
A8,118,Rec_F1,Unknown,28.0847,0.23,,,,,80.4,,,
A9,126,Rec_F1,Unknown,Undetermined,,,,,,68.7,,,
A10,126,Rec_F1,Unknown,Undetermined,,,,,,65.6,,,
A11,134,Rec_F1,Unknown,29.7329,0.069,,,,,80.4,,,
A12,134,Rec_F1,Unknown,29.6353,0.069,,,,,80.1,,,
B1,94,Rec_F1,Unknown,Undetermined,,,,,,66.7,,,
B2,94,Rec_F1,Unknown,Undetermined,,,,,,68.4,,,
B3,103,Rec_F1,Unknown,31.0257,0.0293,,,,,80.4,,,
B4,103,Rec_F1,Unknown,31.0671,0.0293,,,,,80.4,,,
B5,111,Rec_F1,Unknown,Undetermined,,,,,,68.7,,,
B6,111,Rec_F1,Unknown,Undetermined,,,,,,65,,,
B7,119,Rec_F1,Unknown,38.9409,,,,,,80.7,,,
B8,119,Rec_F1,Unknown,Undetermined,,,,,,80.9,,,
