Document Name: Hopland_PlateXX_10-31-23 ,,,,,,,,,,,,,
Plate Type: Standard Curve,,,,,,,,,,,,,
User: EGF User,,,,,,,,,,,,,
,,,,,,,,,,,,,
Document Information,,,,,,,,,,,,,
,,,,,,,,,,,,,
Operator: EGF User,,,,,,,,,,,,,
Run Date: Tuesday, October 31, 2023 12:01:43,,,,,,,,,,,
Last Modified: Tuesday, October 31, 2023 15:13:42,,,,,,,,,,,
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System,,,,,,,,,,,,,
,,,,,,,,,,,,,
Comments:,,,,,,,,,,,,,
SDS v1.4,,,,,,,,,,,,,
,,,,,,,,,,,,,
Thermal Cycler Profile,,,,,,,,,,,,,
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment,,,,,,,,
1,1,95.0 °C,15:00,Auto,,,,,,,,,
2,40,95.0 °C,0:10,Auto,,,,,,,,,
,,60.0 °C,0:15,Auto,,,,,,,,,
,,72.0 °C,0:30,Auto,,,,,,,,,
3 (Dissociation),1,95.0 °C,0:15,Auto,,,,,,,,,
,,60.0 °C,1:00,Auto,,,,,,,,,
,,95.0 °C,0:15,Auto,,,,,,,,,
,,60.0 °C,0:15,Auto,,,,,,,,,
Fast 7500 Mode,,,,,,,,,,,,,
Data Collection :  Stage 2 Step 3,,,,,,,,,,,,,
PCR Volume: 20 µL,,,,,,,,,,,,,
,,,,,,,,,,,,,
Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm,User Defined #1,User Defined #2,User Defined #3
A1,48,Rec_F1,Unknown,Undetermined,,,,,,65.6,,,
A2,48,Rec_F1,Unknown,Undetermined,,,,,,64.8,,,
A3,57,Rec_F1,Unknown,Undetermined,,,,,,65.6,,,
A4,57,Rec_F1,Unknown,Undetermined,,,,,,65.9,,,
A5,66,Rec_F1,Unknown,Undetermined,,,,,,65.6,,,
A6,66,Rec_F1,Unknown,Undetermined,,,,,,66.2,,,
A7,74,Rec_F1,Unknown,Undetermined,,,,,,65.6,,,
A8,74,Rec_F1,Unknown,Undetermined,,,,,,65.9,,,
A9,82,Rec_F1,Unknown,Undetermined,,,,,,65,,,
A10,82,Rec_F1,Unknown,Undetermined,,,,,,65.9,,,
A11,90,Rec_F1,Unknown,Undetermined,,,,,,66.4,,,
A12,90,Rec_F1,Unknown,Undetermined,,,,,,65,,,
B1,49,Rec_F1,Unknown,Undetermined,,,,,,64.8,,,
B2,49,Rec_F1,Unknown,Undetermined,,,,,,64.8,,,
B3,58,Rec_F1,Unknown,Undetermined,,,,,,65.9,,,
B4,58,Rec_F1,Unknown,Undetermined,,,,,,65.6,,,
B5,67,Rec_F1,Unknown,36.0776,0.93,,,,,79.7,,,
B6,67,Rec_F1,Unknown,34.7625,0.93,,,,,79.7,,,
B7,75,Rec_F1,Unknown,30.3657,0.593,,,,,79.7,,,
B8,75,Rec_F1,Unknown,31.205,0.593,,,,,79.7,,,
B9,83,Rec_F1,Unknown,Undetermined,,,,,,64.8,,,
B10,83,Rec_F1,Unknown,Undetermined,,,,,,65,,,
B11,91,Rec_F1,Unknown,Undetermined,,,,,,65.9,,,
B12,91,Rec_F1,Unknown,Undetermined,,,,,,70.1,,,
C1,51,Rec_F1,Unknown,34.0928,0.444,,,,,79.4,,,
C2,51,Rec_F1,Unknown,34.721,0.444,,,,,79.7,,,
C3,59,Rec_F1,Unknown,Undetermined,,,,,,65.6,,,
C4,59,Rec_F1,Unknown,Undetermined,,,,,,64.8,,,
C5,68,Rec_F1,Unknown,Undetermined,,,,,,64.8,,,
C6,68,Rec_F1,Unknown,Undetermined,,,,,,64.8,,,
C7,76,Rec_F1,Unknown,33.0194,0.587,,,,,79.7,,,
C8,76,Rec_F1,Unknown,33.849,0.587,,,,,79.7,,,
C9,84,Rec_F1,Unknown,Undetermined,,,,,,67,,,
C10,84,Rec_F1,Unknown,Undetermined,,,,,,65,,,
C11,91,Rec_F1,Unknown,Undetermined,,,,,,79.7,,,
C12,91,Rec_F1,Unknown,Undetermined,,,,,,79.7,,,
D1,52,Rec_F1,Unknown,Undetermined,,,,,,66.4,,,
D2,52,Rec_F1,Unknown,Undetermined,,,,,,71.5,,,
D3,60,Rec_F1,Unknown,37.2797,0.261,,,,,80,,,
D4,60,Rec_F1,Unknown,36.9105,0.261,,,,,80,,,
D5,69,Rec_F1,Unknown,Undetermined,,,,,,66.4,,,
D6,69,Rec_F1,Unknown,Undetermined,,,,,,65.6,,,
D7,77,Rec_F1,Unknown,Undetermined,,,,,,66.2,,,
D8,77,Rec_F1,Unknown,Undetermined,,,,,,67.5,,,
D9,85,Rec_F1,Unknown,Undetermined,,,,,,64.8,,,
D10,85,Rec_F1,Unknown,Undetermined,,,,,,64.8,,,
D11,92,Rec_F1,Unknown,Undetermined,,,,,,65.3,,,
D12,92,Rec_F1,Unknown,Undetermined,,,,,,65.3,,,
