Document Name: hopland_plate14_2-1-2022 ,,,,,,,,,,,,,
Plate Type: Standard Curve,,,,,,,,,,,,,
User: EGF User,,,,,,,,,,,,,
,,,,,,,,,,,,,
Document Information,,,,,,,,,,,,,
,,,,,,,,,,,,,
Operator: EGF User,,,,,,,,,,,,,
Run Date: Tuesday, February 01, 2022 16:07:28,,,,,,,,,,,
Last Modified: Wednesday, February 02, 2022 10:08:19,,,,,,,,,,,
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System,,,,,,,,,,,,,
,,,,,,,,,,,,,
Comments:,,,,,,,,,,,,,
SDS v1.4,,,,,,,,,,,,,
,,,,,,,,,,,,,
Thermal Cycler Profile,,,,,,,,,,,,,
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment,,,,,,,,
1,1,95.0 °C,15:00,Auto,,,,,,,,,
2,40,95.0 °C,0:10,Auto,,,,,,,,,
,,60.0 °C,0:15,Auto,,,,,,,,,
,,72.0 °C,0:30,Auto,,,,,,,,,
3 (Dissociation),1,95.0 °C,0:15,Auto,,,,,,,,,
,,60.0 °C,1:00,Auto,,,,,,,,,
,,95.0 °C,0:15,Auto,,,,,,,,,
,,60.0 °C,0:15,Auto,,,,,,,,,
Fast 7500 Mode,,,,,,,,,,,,,
Data Collection :  Stage 2 Step 3,,,,,,,,,,,,,
PCR Volume: 20 µL,,,,,,,,,,,,,
,,,,,,,,,,,,,
Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm,User Defined #1,User Defined #2,User Defined #3
A1,1,Rec_F1,Unknown,Undetermined,,,,,,73.7,,,
A2,1,Rec_F1,Unknown,37.5814,,,,,,81.3,,,
A3,221,Rec_F1,Unknown,27.3924,0.0546,,,,,81.1,,,
A4,221,Rec_F1,Unknown,27.4697,0.0546,,,,,81.1,,,
A5,229,Rec_F1,Unknown,26.4015,0.0646,,,,,81.1,,,
A6,229,Rec_F1,Unknown,26.4929,0.0646,,,,,81.1,,,
A7,237,Rec_F1,Unknown,Undetermined,,,,,,67,,,
A8,237,Rec_F1,Unknown,39.5231,,,,,,81.6,,,
B1,2,Rec_F1,Unknown,Undetermined,,,,,,67.2,,,
B2,2,Rec_F1,Unknown,Undetermined,,,,,,64.8,,,
B3,222,Rec_F1,Unknown,28.8197,0.223,,,,,81.3,,,
B4,222,Rec_F1,Unknown,28.5038,0.223,,,,,81.3,,,
B5,230,Rec_F1,Unknown,Undetermined,,,,,,65,,,
B6,230,Rec_F1,Unknown,39.5432,,,,,,81.6,,,
B7,238,Rec_F1,Unknown,Undetermined,,,,,,68,,,
B8,238,Rec_F1,Unknown,Undetermined,,,,,,67.8,,,
C1,215,Rec_F1,Unknown,Undetermined,,,,,,65.9,,,
C2,215,Rec_F1,Unknown,Undetermined,,,,,,64.8,,,
C3,223,Rec_F1,Unknown,32.225,0.294,,,,,81.6,,,
C4,223,Rec_F1,Unknown,31.8086,0.294,,,,,81.6,,,
C5,231,Rec_F1,Unknown,Undetermined,,,,,,65,,,
C6,231,Rec_F1,Unknown,Undetermined,,,,,,65,,,
C7,ntc,Rec_F1,Unknown,Undetermined,,,,,,65.6,,,
C8,ntc,Rec_F1,Unknown,Undetermined,,,,,,64.8,,,
D1,216,Rec_F1,Unknown,27.0356,0.0945,,,,,81.1,,,
D2,216,Rec_F1,Unknown,26.902,0.0945,,,,,81.3,,,
D3,224,Rec_F1,Unknown,27.5574,0.00632,,,,,81.3,,,
D4,224,Rec_F1,Unknown,27.5484,0.00632,,,,,81.6,,,
D5,232,Rec_F1,Unknown,Undetermined,,,,,,65.3,,,
D6,232,Rec_F1,Unknown,39.3295,,,,,,82.1,,,
D7,neg,Rec_F1,Unknown,Undetermined,,,,,,65,,,
D8,neg,Rec_F1,Unknown,Undetermined,,,,,,66.1,,,
E1,217,Rec_F1,Unknown,Undetermined,,,,,,65.6,,,
E2,217,Rec_F1,Unknown,Undetermined,,,,,,74.5,,,
E3,225,Rec_F1,Unknown,23.2584,0.0463,,,,,81.3,,,
E4,225,Rec_F1,Unknown,23.1929,0.0463,,,,,81.3,,,
E5,233,Rec_F1,Unknown,Undetermined,,,,,,82.9,,,
E6,233,Rec_F1,Unknown,Undetermined,,,,,,65.3,,,
E7,pos,Rec_F1,Unknown,24.2572,5.07,,,,,81.3,,,
E8,pos,Rec_F1,Unknown,31.425,5.07,,,,,80.8,,,
F1,218,Rec_F1,Unknown,Undetermined,,,,,,65,,,
F2,218,Rec_F1,Unknown,Undetermined,,,,,,64.8,,,
F3,226,Rec_F1,Unknown,38.497,0.66,,,,,81.6,,,
F4,226,Rec_F1,Unknown,39.4304,0.66,,,,,81.9,,,
F5,234,Rec_F1,Unknown,Undetermined,,,,,,64.8,,,
