Document Name: Hopland_plate_30_07_08_22 ,,,,,,,,,,,,,
Plate Type: Standard Curve,,,,,,,,,,,,,
User: EGF User,,,,,,,,,,,,,
,,,,,,,,,,,,,
Document Information,,,,,,,,,,,,,
,,,,,,,,,,,,,
Operator: EGF User,,,,,,,,,,,,,
Run Date: Friday, July 08, 2022 15:00:00,,,,,,,,,,,
Last Modified: Monday, July 11, 2022 09:14:14,,,,,,,,,,,
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System,,,,,,,,,,,,,
Exporting Mode: Based on Selected Wells and Report Setting,,,,,,,,,,,,,
Comments:,,,,,,,,,,,,,
SDS v1.4,,,,,,,,,,,,,
,,,,,,,,,,,,,
Thermal Cycler Profile,,,,,,,,,,,,,
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment,,,,,,,,
1,1,95.0 °C,15:00,Auto,,,,,,,,,
2,40,95.0 °C,0:10,Auto,,,,,,,,,
,,60.0 °C,0:15,Auto,,,,,,,,,
,,72.0 °C,0:30,Auto,,,,,,,,,
3 (Dissociation),1,95.0 °C,0:15,Auto,,,,,,,,,
,,60.0 °C,1:00,Auto,,,,,,,,,
,,95.0 °C,0:15,Auto,,,,,,,,,
,,60.0 °C,0:15,Auto,,,,,,,,,
Fast 7500 Mode,,,,,,,,,,,,,
Data Collection :  Stage 2 Step 3,,,,,,,,,,,,,
PCR Volume: 20 µL,,,,,,,,,,,,,
,,,,,,,,,,,,,
Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm,User Defined #1,User Defined #2,User Defined #3
A1,161,Rec_F1,Unknown,Undetermined,,,,,,65.3,,,
A2,161,Rec_F1,Unknown,Undetermined,,,,,,65,,,
A3,169,Rec_F1,Unknown,Undetermined,,,,,,65,,,
A4,169,Rec_F1,Unknown,39.2524,-999.9,,,,,81.2,,,
A5,177,Rec_F1,Unknown,Undetermined,,,,,,65.3,,,
A6,177,Rec_F1,Unknown,38.1152,-999.9,,,,,81.2,,,
A7,185,Rec_F1,Unknown,Undetermined,,,,,,65.5,,,
A8,185,Rec_F1,Unknown,Undetermined,,,,,,66.4,,,
B1,162,Rec_F1,Unknown,Undetermined,,,,,,65.8,,,
B2,162,Rec_F1,Unknown,Undetermined,,,,,,81.2,,,
B3,170,Rec_F1,Unknown,39.1182,-999.9,,,,,81.2,,,
B4,170,Rec_F1,Unknown,Undetermined,,,,,,65,,,
B5,178,Rec_F1,Unknown,Undetermined,,,,,,67.2,,,
B6,178,Rec_F1,Unknown,39.0318,-999.9,,,,,81.5,,,
B7,NTC,Rec_F1,Unknown,Undetermined,,,,,,65,,,
B8,NTC,Rec_F1,Unknown,Undetermined,,,,,,65.3,,,
C1,163,Rec_F1,Unknown,34.3437,0.0293-999.9,,,,,80.9,,,
C2,163,Rec_F1,Unknown,34.3023,0.0293-999.9,,,,,81.2,,,
C3,171,Rec_F1,Unknown,Undetermined,,,,,,65,,,
C4,171,Rec_F1,Unknown,Undetermined,,,,,,65,,,
C5,179,Rec_F1,Unknown,Undetermined,,,,,,65,,,
C6,179,Rec_F1,Unknown,38.0827,-999.9,,,,,81.5,,,
C7,neg,Rec_F1,Unknown,Undetermined,,,,,,80.3,,,
C8,neg,Rec_F1,Unknown,Undetermined,,,,,,80.3,,,
D1,164,Rec_F1,Unknown,Undetermined,,,,,,65,,,
D2,164,Rec_F1,Unknown,Undetermined,,,,,,66.4,,,
D3,172,Rec_F1,Unknown,Undetermined,,,,,,65,,,
D4,172,Rec_F1,Unknown,38.2051,-999.9,,,,,81.5,,,
D5,180,Rec_F1,Unknown,Undetermined,,,,,,65,,,
D6,180,Rec_F1,Unknown,Undetermined,,,,,,65,,,
D7,pos,Rec_F1,Unknown,20.247,0.76-999.9,,,,,81.2,,,
D8,pos,Rec_F1,Unknown,21.322,0.76-999.9,,,,,81.2,,,
E1,165,Rec_F1,Unknown,Undetermined,,,,,,67.2,,,
E2,165,Rec_F1,Unknown,Undetermined,,,,,,65.5,,,
E3,173,Rec_F1,Unknown,Undetermined,,,,,,65,,,
E4,173,Rec_F1,Unknown,Undetermined,,,,,,65.8,,,
E5,181,Rec_F1,Unknown,Undetermined,,,,,,65.5,,,
E6,181,Rec_F1,Unknown,Undetermined,,,,,,65,,,
F1,166,Rec_F1,Unknown,Undetermined,,,,,,65.5,,,
F2,166,Rec_F1,Unknown,Undetermined,,,,,,65.3,,,
F3,174,Rec_F1,Unknown,Undetermined,,,,,,66.1,,,
F4,174,Rec_F1,Unknown,Undetermined,,,,,,65.8,,,
F5,182,Rec_F1,Unknown,Undetermined,,,,,,65.8,,,
F6,182,Rec_F1,Unknown,Undetermined,,,,,,65,,,
G1,167,Rec_F1,Unknown,Undetermined,,,,,,65,,,
G2,167,Rec_F1,Unknown,Undetermined,,,,,,65.5,,,
G3,175,Rec_F1,Unknown,Undetermined,,,,,,65,,,
G4,175,Rec_F1,Unknown,Undetermined,,,,,,65,,,
G5,183,Rec_F1,Unknown,36.7003,-999.9,,,,,81.2,,,
G6,183,Rec_F1,Unknown,Undetermined,,,,,,66.1,,,
H1,168,Rec_F1,Unknown,Undetermined,,,,,,65,,,
H2,168,Rec_F1,Unknown,Undetermined,,,,,,65,,,
H3,176,Rec_F1,Unknown,Undetermined,,,,,,65,,,
H4,176,Rec_F1,Unknown,Undetermined,,,,,,65,,,
H5,184,Rec_F1,Unknown,Undetermined,,,,,,66.1,,,
H6,184,Rec_F1,Unknown,39.0983,-999.9,,,,,81.2,,,
