Document Name: HREC_AB_4-3-24 ,,,,,,,,,,,,,
Plate Type: Standard Curve,,,,,,,,,,,,,
User: EGF User,,,,,,,,,,,,,
,,,,,,,,,,,,,
Document Information,,,,,,,,,,,,,
,,,,,,,,,,,,,
Operator: EGF User,,,,,,,,,,,,,
Run Date: Wednesday, April 03, 2024 13:23:33,,,,,,,,,,,
Last Modified: Wednesday, April 03, 2024 16:16:32,,,,,,,,,,,
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System,,,,,,,,,,,,,
,,,,,,,,,,,,,
Comments:,,,,,,,,,,,,,
SDS v1.4,,,,,,,,,,,,,
,,,,,,,,,,,,,
Thermal Cycler Profile,,,,,,,,,,,,,
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment,,,,,,,,
1,1,95.0 °C,15:00,Auto,,,,,,,,,
2,40,95.0 °C,0:10,Auto,,,,,,,,,
,,60.0 °C,0:15,Auto,,,,,,,,,
,,72.0 °C,0:30,Auto,,,,,,,,,
3 (Dissociation),1,95.0 °C,0:15,Auto,,,,,,,,,
,,60.0 °C,1:00,Auto,,,,,,,,,
,,95.0 °C,0:15,Auto,,,,,,,,,
,,60.0 °C,0:15,Auto,,,,,,,,,
Fast 7500 Mode,,,,,,,,,,,,,
Data Collection :  Stage 2 Step 3,,,,,,,,,,,,,
PCR Volume: 20 µL,,,,,,,,,,,,,
,,,,,,,,,,,,,
Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm,User Defined #1,User Defined #2,User Defined #3
A1,607,Rec_F1,Unknown,Undetermined,,,,,,79.5,,,
A2,607,Rec_F1,Unknown,Undetermined,,,,,,64.7,,,
A3,615,Rec_F1,Unknown,Undetermined,,,,,,64.7,,,
A4,615,Rec_F1,Unknown,Undetermined,,,,,,66.7,,,
A5,623,Rec_F1,Unknown,Undetermined,,,,,,65.3,,,
A6,623,Rec_F1,Unknown,Undetermined,,,,,,65.5,,,
A7,631,Rec_F1,Unknown,Undetermined,,,,,,65.8,,,
A8,631,Rec_F1,Unknown,Undetermined,,,,,,66.1,,,
A9,639,Rec_F1,Unknown,Undetermined,,,,,,64.7,,,
A10,639,Rec_F1,Unknown,Undetermined,,,,,,66.4,,,
A11,647,Rec_F1,Unknown,Undetermined,,,,,,65.5,,,
A12,647,Rec_F1,Unknown,Undetermined,,,,,,64.7,,,
