Document Name: hopland_plate16_2-15-22 ,,,,,,,,,,,,,
Plate Type: Standard Curve,,,,,,,,,,,,,
User: EGF User,,,,,,,,,,,,,
,,,,,,,,,,,,,
Document Information,,,,,,,,,,,,,
,,,,,,,,,,,,,
Operator: EGF User,,,,,,,,,,,,,
Run Date: Tuesday, February 15, 2022 16:41:17,,,,,,,,,,,
Last Modified: Wednesday, February 16, 2022 12:29:39,,,,,,,,,,,
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System,,,,,,,,,,,,,
,,,,,,,,,,,,,
Comments:,,,,,,,,,,,,,
SDS v1.4,,,,,,,,,,,,,
,,,,,,,,,,,,,
Thermal Cycler Profile,,,,,,,,,,,,,
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment,,,,,,,,
1,1,95.0 °C,15:00,Auto,,,,,,,,,
2,40,95.0 °C,0:10,Auto,,,,,,,,,
,,60.0 °C,0:15,Auto,,,,,,,,,
,,72.0 °C,0:30,Auto,,,,,,,,,
3 (Dissociation),1,95.0 °C,0:15,Auto,,,,,,,,,
,,60.0 °C,1:00,Auto,,,,,,,,,
,,95.0 °C,0:15,Auto,,,,,,,,,
,,60.0 °C,0:15,Auto,,,,,,,,,
Fast 7500 Mode,,,,,,,,,,,,,
Data Collection :  Stage 2 Step 3,,,,,,,,,,,,,
PCR Volume: 20 µL,,,,,,,,,,,,,
,,,,,,,,,,,,,
Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm,User Defined #1,User Defined #2,User Defined #3
A1,47,Rec_F1,Unknown,26.3893,0.142,,,,,80.3,,,
A2,47,Rec_F1,Unknown,26.5904,0.142,,,,,80.5,,,
A3,55,Rec_F1,Unknown,Undetermined,,,,,,69.9,,,
A4,55,Rec_F1,Unknown,Undetermined,,,,,,80.8,,,
A5,63,Rec_F1,Unknown,33.0757,0.349,,,,,80.8,,,
A6,63,Rec_F1,Unknown,33.5688,0.349,,,,,80.8,,,
A7,71,Rec_F1,Unknown,39.7901,,,,,,81.1,,,
A8,71,Rec_F1,Unknown,Undetermined,,,,,,65.1,,,
A9,79,Rec_F1,Unknown,Undetermined,,,,,,65.1,,,
A10,79,Rec_F1,Unknown,Undetermined,,,,,,64.9,,,
A11,nuc,Rec_F1,Unknown,Undetermined,,,,,,65.9,,,
A12,nuc,Rec_F1,Unknown,Undetermined,,,,,,72.2,,,
B1,48,Rec_F1,Unknown,26.2748,0.0914,,,,,80.5,,,
B2,48,Rec_F1,Unknown,26.1455,0.0914,,,,,80.5,,,
B3,56,Rec_F1,Unknown,30.1741,0.0895,,,,,80.5,,,
B4,56,Rec_F1,Unknown,30.0475,0.0895,,,,,80.5,,,
B5,64,Rec_F1,Unknown,Undetermined,,,,,,66.5,,,
B6,64,Rec_F1,Unknown,Undetermined,,,,,,67.1,,,
B7,72,Rec_F1,Unknown,28.1605,0.0216,,,,,80.8,,,
B8,72,Rec_F1,Unknown,28.13,0.0216,,,,,80.8,,,
B9,80,Rec_F1,Unknown,Undetermined,,,,,,66.8,,,
B10,80,Rec_F1,Unknown,Undetermined,,,,,,65.1,,,
B11,neg,Rec_F1,Unknown,Undetermined,,,,,,65.9,,,
B12,neg,Rec_F1,Unknown,Undetermined,,,,,,79.4,,,
C1,49,Rec_F1,Unknown,Undetermined,,,,,,65.7,,,
C2,49,Rec_F1,Unknown,Undetermined,,,,,,66.5,,,
C3,57,Rec_F1,Unknown,32.8397,0.0902,,,,,80.8,,,
C4,57,Rec_F1,Unknown,32.9673,0.0902,,,,,80.8,,,
C5,65,Rec_F1,Unknown,Undetermined,,,,,,66.5,,,
C6,65,Rec_F1,Unknown,Undetermined,,,,,,65.7,,,
C7,73,Rec_F1,Unknown,Undetermined,,,,,,74.1,,,
