Document Name: HREC_MD_plateXX_03-29-24 ,,,,,,,,,,,,,
Plate Type: Standard Curve,,,,,,,,,,,,,
User: EGF User,,,,,,,,,,,,,
,,,,,,,,,,,,,
Document Information,,,,,,,,,,,,,
,,,,,,,,,,,,,
Operator: EGF User,,,,,,,,,,,,,
Run Date: Friday, March 29, 2024 09:54:28,,,,,,,,,,,
Last Modified: Monday, April 01, 2024 10:13:49,,,,,,,,,,,
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System,,,,,,,,,,,,,
,,,,,,,,,,,,,
Comments:,,,,,,,,,,,,,
SDS v1.4,,,,,,,,,,,,,
,,,,,,,,,,,,,
Thermal Cycler Profile,,,,,,,,,,,,,
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment,,,,,,,,
1,1,95.0 °C,15:00,Auto,,,,,,,,,
2,40,95.0 °C,0:10,Auto,,,,,,,,,
,,60.0 °C,0:15,Auto,,,,,,,,,
,,72.0 °C,0:30,Auto,,,,,,,,,
3 (Dissociation),1,95.0 °C,0:15,Auto,,,,,,,,,
,,60.0 °C,1:00,Auto,,,,,,,,,
,,95.0 °C,0:15,Auto,,,,,,,,,
,,60.0 °C,0:15,Auto,,,,,,,,,
Fast 7500 Mode,,,,,,,,,,,,,
Data Collection :  Stage 2 Step 3,,,,,,,,,,,,,
PCR Volume: 20 µL,,,,,,,,,,,,,
,,,,,,,,,,,,,
Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm,User Defined #1,User Defined #2,User Defined #3
A1,522,Rec_F1,Unknown,32.6791,0.0458,,,,,78.6,,,
A2,522,Rec_F1,Unknown,32.7439,0.0458,,,,,78.6,,,
A3,530,Rec_F1,Unknown,Undetermined,,,,,,66.6,,,
A4,530,Rec_F1,Unknown,Undetermined,,,,,,79.1,,,
A5,538,Rec_F1,Unknown,Undetermined,,,,,,79.1,,,
A6,538,Rec_F1,Unknown,Undetermined,,,,,,64.9,,,
A7,546,Rec_F1,Unknown,25.5652,,,,,,66.6,,,
A8,546,Rec_F1,Unknown,Undetermined,,,,,,65.2,,,
A9,554,Rec_F1,Unknown,Undetermined,,,,,,68.6,,,
A10,554,Rec_F1,Unknown,Undetermined,,,,,,78.8,,,
A11,562,Rec_F1,Unknown,39.202,1.48,,,,,78.8,,,
A12,562,Rec_F1,Unknown,37.1077,1.48,,,,,78.6,,,
