Document Name: Hopland_plate26_05-24-22 ,,,,,,,,,,,,,
Plate Type: Standard Curve,,,,,,,,,,,,,
User: EGF User,,,,,,,,,,,,,
,,,,,,,,,,,,,
Document Information,,,,,,,,,,,,,
,,,,,,,,,,,,,
Operator: EGF User,,,,,,,,,,,,,
Run Date: Tuesday, May 24, 2022 15:31:13,,,,,,,,,,,
Last Modified: Wednesday, May 25, 2022 09:12:50,,,,,,,,,,,
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System,,,,,,,,,,,,,
,,,,,,,,,,,,,
Comments:,,,,,,,,,,,,,
SDS v1.4,,,,,,,,,,,,,
,,,,,,,,,,,,,
Thermal Cycler Profile,,,,,,,,,,,,,
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment,,,,,,,,
1,1,95.0 °C,15:00,Auto,,,,,,,,,
2,40,95.0 °C,0:10,Auto,,,,,,,,,
,,60.0 °C,0:15,Auto,,,,,,,,,
,,72.0 °C,0:30,Auto,,,,,,,,,
3 (Dissociation),1,95.0 °C,0:15,Auto,,,,,,,,,
,,60.0 °C,1:00,Auto,,,,,,,,,
,,95.0 °C,0:15,Auto,,,,,,,,,
,,60.0 °C,0:15,Auto,,,,,,,,,
Fast 7500 Mode,,,,,,,,,,,,,
Data Collection :  Stage 2 Step 3,,,,,,,,,,,,,
PCR Volume: 20 µL,,,,,,,,,,,,,
,,,,,,,,,,,,,
Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm,User Defined #1,User Defined #2,User Defined #3
A1,1,Rec_F1,Unknown,38.4409,,,,,,81.4,,,
A2,1,Rec_F1,Unknown,Undetermined,,,,,,66.1,,,
A3,9,Rec_F1,Unknown,Undetermined,,,,,,65,,,
A4,9,Rec_F1,Unknown,39.0464,,,,,,81.4,,,
A5,neg,Rec_F1,Unknown,Undetermined,,,,,,66.9,,,
A6,neg,Rec_F1,Unknown,37.3405,,,,,,80.8,,,
B1,2,Rec_F1,Unknown,Undetermined,,,,,,65,,,
B2,2,Rec_F1,Unknown,Undetermined,,,,,,65,,,
B3,10,Rec_F1,Unknown,Undetermined,,,,,,65,,,
B4,10,Rec_F1,Unknown,Undetermined,,,,,,65.8,,,
B5,pos,Rec_F1,Unknown,20.2713,0.29,,,,,81.1,,,
B6,pos,Rec_F1,Unknown,20.6815,0.29,,,,,81.1,,,
C1,3,Rec_F1,Unknown,37.4547,,,,,,81.4,,,
C2,3,Rec_F1,Unknown,Undetermined,,,,,,65.8,,,
C3,11,Rec_F1,Unknown,Undetermined,,,,,,67.8,,,
C4,11,Rec_F1,Unknown,Undetermined,,,,,,66.4,,,
C5,ntc,Rec_F1,Unknown,Undetermined,,,,,,65,,,
C6,ntc,Rec_F1,Unknown,Undetermined,,,,,,65.5,,,
D1,4,Rec_F1,Unknown,Undetermined,,,,,,65,,,
D2,4,Rec_F1,Unknown,37.3507,,,,,,81.7,,,
D3,12,Rec_F1,Unknown,Undetermined,,,,,,81.9,,,
D4,12,Rec_F1,Unknown,Undetermined,,,,,,66.1,,,
E1,5,Rec_F1,Unknown,37.9248,,,,,,81.7,,,
E2,5,Rec_F1,Unknown,Undetermined,,,,,,65,,,
E3,13,Rec_F1,Unknown,Undetermined,,,,,,65,,,
E4,13,Rec_F1,Unknown,Undetermined,,,,,,66.7,,,
F1,6,Rec_F1,Unknown,Undetermined,,,,,,65,,,
F2,6,Rec_F1,Unknown,Undetermined,,,,,,65.8,,,
F3,14,Rec_F1,Unknown,38.4941,0.864,,,,,81.7,,,
F4,14,Rec_F1,Unknown,37.2723,0.864,,,,,81.4,,,
G1,7,Rec_F1,Unknown,Undetermined,,,,,,66.4,,,
G2,7,Rec_F1,Unknown,Undetermined,,,,,,65,,,
G3,15,Rec_F1,Unknown,Undetermined,,,,,,65,,,
G4,15,Rec_F1,Unknown,36.7022,,,,,,81.1,,,
H1,8,Rec_F1,Unknown,Undetermined,,,,,,65,,,
H2,8,Rec_F1,Unknown,37.2915,,,,,,81.1,,,
H3,16,Rec_F1,Unknown,Undetermined,,,,,,66.1,,,
H4,16,Rec_F1,Unknown,Undetermined,,,,,,65,,,
