Document Name: Hopland_plate36-07-22-22 ,,,,,,,,,,,,,
Plate Type: Standard Curve,,,,,,,,,,,,,
User: EGF User,,,,,,,,,,,,,
,,,,,,,,,,,,,
Document Information,,,,,,,,,,,,,
,,,,,,,,,,,,,
Operator: EGF User,,,,,,,,,,,,,
Run Date: Friday, July 22, 2022 15:08:05,,,,,,,,,,,
Last Modified: Monday, July 25, 2022 09:28:01,,,,,,,,,,,
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System,,,,,,,,,,,,,
,,,,,,,,,,,,,
Comments:,,,,,,,,,,,,,
SDS v1.4,,,,,,,,,,,,,
,,,,,,,,,,,,,
Thermal Cycler Profile,,,,,,,,,,,,,
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment,,,,,,,,
1,1,95.0 °C,15:00,Auto,,,,,,,,,
2,40,95.0 °C,0:10,Auto,,,,,,,,,
,,60.0 °C,0:15,Auto,,,,,,,,,
,,72.0 °C,0:30,Auto,,,,,,,,,
3 (Dissociation),1,95.0 °C,0:15,Auto,,,,,,,,,
,,60.0 °C,1:00,Auto,,,,,,,,,
,,95.0 °C,0:15,Auto,,,,,,,,,
,,60.0 °C,0:15,Auto,,,,,,,,,
Fast 7500 Mode,,,,,,,,,,,,,
Data Collection :  Stage 2 Step 3,,,,,,,,,,,,,
PCR Volume: 20 µL,,,,,,,,,,,,,
,,,,,,,,,,,,,
Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm,User Defined #1,User Defined #2,User Defined #3
A1,1,Rec_F1,Unknown,Undetermined,,,,,,71.4,,,
A2,1,Rec_F1,Unknown,Undetermined,,,,,,81.1,,,
A3,9,Rec_F1,Unknown,Undetermined,,,,,,74.2,,,
A4,9,Rec_F1,Unknown,Undetermined,,,,,,67,,,
A5,17,Rec_F1,Unknown,Undetermined,,,,,,64.8,,,
A6,17,Rec_F1,Unknown,38.7777,,,,,,81.4,,,
A7,223,Rec_F1,Unknown,Undetermined,,,,,,74.7,,,
A8,223,Rec_F1,Unknown,Undetermined,,,,,,64.8,,,
A9,231,Rec_F1,Unknown,38.6719,1.1,,,,,80.8,,,
A10,231,Rec_F1,Unknown,37.1192,1.1,,,,,81.1,,,
A11,239,Rec_F1,Unknown,Undetermined,,,,,,65.3,,,
A12,239,Rec_F1,Unknown,38.5375,,,,,,81.1,,,
B1,2,Rec_F1,Unknown,Undetermined,,,,,,74.4,,,
B2,2,Rec_F1,Unknown,Undetermined,,,,,,65.1,,,
B3,10,Rec_F1,Unknown,Undetermined,,,,,,67,,,
B4,10,Rec_F1,Unknown,Undetermined,,,,,,75,,,
B5,18,Rec_F1,Unknown,Undetermined,,,,,,64.8,,,
B6,18,Rec_F1,Unknown,Undetermined,,,,,,74.4,,,
B7,224,Rec_F1,Unknown,Undetermined,,,,,,75,,,
B8,224,Rec_F1,Unknown,36.6442,,,,,,80.8,,,
B9,232,Rec_F1,Unknown,Undetermined,,,,,,76.4,,,
B10,232,Rec_F1,Unknown,38.4651,,,,,,81.4,,,
B11,240,Rec_F1,Unknown,Undetermined,,,,,,74.7,,,
B12,240,Rec_F1,Unknown,39.4826,,,,,,81.4,,,
C1,3,Rec_F1,Unknown,Undetermined,,,,,,81.4,,,
C2,3,Rec_F1,Unknown,Undetermined,,,,,,67.2,,,
C3,11,Rec_F1,Unknown,Undetermined,,,,,,74.7,,,
C4,11,Rec_F1,Unknown,Undetermined,,,,,,68,,,
C5,19,Rec_F1,Unknown,39.6569,0.0408,,,,,81.4,,,
C6,19,Rec_F1,Unknown,39.5993,0.0408,,,,,81.7,,,
C7,225,Rec_F1,Unknown,Undetermined,,,,,,65.6,,,
C8,225,Rec_F1,Unknown,38.7,,,,,,81.1,,,
C9,233,Rec_F1,Unknown,38.884,,,,,,80.8,,,
C10,233,Rec_F1,Unknown,Undetermined,,,,,,65.9,,,
C11,241,Rec_F1,Unknown,39.4021,,,,,,81.4,,,
C12,241,Rec_F1,Unknown,Undetermined,,,,,,68.6,,,
D1,4,Rec_F1,Unknown,Undetermined,,,,,,64.8,,,
D2,4,Rec_F1,Unknown,39.1063,,,,,,81.4,,,
D3,12,Rec_F1,Unknown,Undetermined,,,,,,65.1,,,
D4,12,Rec_F1,Unknown,Undetermined,,,,,,74.7,,,
D5,20,Rec_F1,Unknown,Undetermined,,,,,,64.8,,,
D6,20,Rec_F1,Unknown,Undetermined,,,,,,67.2,,,
D7,226,Rec_F1,Unknown,31.441,0.101,,,,,81.4,,,
D8,226,Rec_F1,Unknown,31.2984,0.101,,,,,81.4,,,
D9,234,Rec_F1,Unknown,38.3284,,,,,,81.1,,,
D10,234,Rec_F1,Unknown,Undetermined,,,,,,65.1,,,
D11,neg,Rec_F1,Unknown,Undetermined,,,,,,79.8,,,
D12,neg,Rec_F1,Unknown,Undetermined,,,,,,65.6,,,
E1,5,Rec_F1,Unknown,Undetermined,,,,,,65.1,,,
E2,5,Rec_F1,Unknown,Undetermined,,,,,,68,,,
E3,13,Rec_F1,Unknown,Undetermined,,,,,,65.1,,,
E4,13,Rec_F1,Unknown,Undetermined,,,,,,64.8,,,
E5,21,Rec_F1,Unknown,Undetermined,,,,,,65.3,,,
E6,21,Rec_F1,Unknown,Undetermined,,,,,,64.8,,,
E7,227,Rec_F1,Unknown,Undetermined,,,,,,81.7,,,
E8,227,Rec_F1,Unknown,38.7638,,,,,,81.7,,,
E9,235,Rec_F1,Unknown,Undetermined,,,,,,68.3,,,
E10,235,Rec_F1,Unknown,Undetermined,,,,,,66.2,,,
E11,pos,Rec_F1,Unknown,25.7681,0.0234,,,,,81.1,,,
E12,pos,Rec_F1,Unknown,25.8012,0.0234,,,,,81.1,,,
F1,6,Rec_F1,Unknown,Undetermined,,,,,,66.4,,,
F2,6,Rec_F1,Unknown,Undetermined,,,,,,74.4,,,
F3,14,Rec_F1,Unknown,38.7236,,,,,,81.4,,,
F4,14,Rec_F1,Unknown,Undetermined,,,,,,65.6,,,
F5,22,Rec_F1,Unknown,Undetermined,,,,,,65.3,,,
F6,22,Rec_F1,Unknown,Undetermined,,,,,,64.8,,,
F7,228,Rec_F1,Unknown,24.7979,0.0147,,,,,81.1,,,
F8,228,Rec_F1,Unknown,24.7771,0.0147,,,,,81.1,,,
F9,236,Rec_F1,Unknown,38.6708,0.866,,,,,81.4,,,
F10,236,Rec_F1,Unknown,37.4464,0.866,,,,,81.1,,,
F11,NTC,Rec_F1,Unknown,Undetermined,,,,,,64.8,,,
F12,NTC,Rec_F1,Unknown,Undetermined,,,,,,65.3,,,
G1,7,Rec_F1,Unknown,Undetermined,,,,,,65.3,,,
G2,7,Rec_F1,Unknown,Undetermined,,,,,,65.9,,,
G3,15,Rec_F1,Unknown,Undetermined,,,,,,65.3,,,
G4,15,Rec_F1,Unknown,Undetermined,,,,,,67.2,,,
G5,23,Rec_F1,Unknown,Undetermined,,,,,,65.3,,,
G6,23,Rec_F1,Unknown,Undetermined,,,,,,65.3,,,
G7,229,Rec_F1,Unknown,36.4285,0.736,,,,,81.1,,,
G8,229,Rec_F1,Unknown,35.3882,0.736,,,,,81.1,,,
G9,237,Rec_F1,Unknown,Undetermined,,,,,,64.8,,,
G10,237,Rec_F1,Unknown,Undetermined,,,,,,65.9,,,
G11,NTC,Rec_F1,Unknown,Undetermined,,,,,,66.2,,,
G12,NTC,Rec_F1,Unknown,Undetermined,,,,,,64.8,,,
H1,8,Rec_F1,Unknown,Undetermined,,,,,,65.6,,,
H2,8,Rec_F1,Unknown,Undetermined,,,,,,67,,,
H3,16,Rec_F1,Unknown,Undetermined,,,,,,68.6,,,
H4,16,Rec_F1,Unknown,Undetermined,,,,,,64.8,,,
H5,24,Rec_F1,Unknown,Undetermined,,,,,,65.9,,,
H6,24,Rec_F1,Unknown,Undetermined,,,,,,65.6,,,
H7,230,Rec_F1,Unknown,37.137,0.262,,,,,81.1,,,
H8,230,Rec_F1,Unknown,36.766,0.262,,,,,81.1,,,
H9,238,Rec_F1,Unknown,Undetermined,,,,,,66.4,,,
H10,238,Rec_F1,Unknown,Undetermined,,,,,,64.8,,,
H11,NTC,Rec_F1,Unknown,Undetermined,,,,,,65.1,,,
H12,NTC,Rec_F1,Unknown,Undetermined,,,,,,64.8,,,
