1-Wire/iButton Part Number: DS1921Z-F5,,,
,,,
1-Wire/iButton Registration Number: EF3B20000327C421,,,
,,,
Is Mission Active?  true,,,
,,,
Mission Start:  Wed Oct 19 13:15:00 PDT 2023,,,
,,,
Sample Rate:  Every 120 minute(s),,,
,,,
Number of Mission Samples:  2284,,,
,,,
Total Samples:  2284,,,
,,,
Roll Over Enabled?  true,,,
,,,
Roll Over Occurred?  Roll over has occurred,,,
,,,
Active Alarms:  High Temp,,,
,,,
Next Clock Alarm At:  Disabled,,,
,,,
High Temperature Alarm:  26.375 °C,,,
,,,
Low Temperature Alarm:  -5.5 °C,,,
,,,
,,,
,,,
Date/Time,Unit,Value,
,,,
11/8/22, 4:15:00 AM,C,9.75
11/8/22, 6:15:00 AM,C,9.25
11/8/22, 8:15:00 AM,C,17.375
11/8/22, 10:15:00 AM,C,26.125
11/8/22, 12:15:00 PM,C,20.375
11/8/22, 2:15:00 PM,C,11.375
11/8/22, 4:15:00 PM,C,9.5
11/8/22, 6:15:00 PM,C,9.375
11/8/22, 8:15:00 PM,C,9.125
11/8/22, 10:15:00 PM,C,7.375
11/9/22, 12:15:00 AM,C,7.5
11/9/22, 2:15:00 AM,C,8.25
11/9/22, 4:15:00 AM,C,8.125
11/9/22, 6:15:00 AM,C,7.125
11/9/22, 8:15:00 AM,C,11.5
11/9/22, 10:15:00 AM,C,16.125
11/9/22, 12:15:00 PM,C,21.75
11/9/22, 2:15:00 PM,C,20.75
11/9/22, 4:15:00 PM,C,13.875
11/9/22, 6:15:00 PM,C,9.875
11/9/22, 8:15:00 PM,C,6.5
11/9/22, 10:15:00 PM,C,4.875
11/10/22, 12:15:00 AM,C,5.25
11/10/22, 2:15:00 AM,C,3.25
11/10/22, 4:15:00 AM,C,2.5
11/10/22, 6:15:00 AM,C,1.875
11/10/22, 8:15:00 AM,C,11.75
11/10/22, 10:15:00 AM,C,18.375
11/10/22, 12:15:00 PM,C,19.5
11/10/22, 2:15:00 PM,C,20.25
11/10/22, 4:15:00 PM,C,13.5
11/10/22, 6:15:00 PM,C,7.625
11/10/22, 8:15:00 PM,C,5.75
11/10/22, 10:15:00 PM,C,4.875
11/11/22, 12:15:00 AM,C,3.875
11/11/22, 2:15:00 AM,C,2.25
11/11/22, 4:15:00 AM,C,2.125
11/11/22, 6:15:00 AM,C,1.75
11/11/22, 8:15:00 AM,C,12.125
11/11/22, 10:15:00 AM,C,17
11/11/22, 12:15:00 PM,C,21.375
11/11/22, 2:15:00 PM,C,20
11/11/22, 4:15:00 PM,C,14.625
11/11/22, 6:15:00 PM,C,8.125
11/11/22, 8:15:00 PM,C,6.125
11/11/22, 10:15:00 PM,C,4.375
11/12/22, 12:15:00 AM,C,4
11/12/22, 2:15:00 AM,C,3.125
11/12/22, 4:15:00 AM,C,1.875
11/12/22, 6:15:00 AM,C,1.5
11/12/22, 8:15:00 AM,C,10.5
11/12/22, 10:15:00 AM,C,19.375
11/12/22, 12:15:00 PM,C,22.5
11/12/22, 2:15:00 PM,C,23.375
11/12/22, 4:15:00 PM,C,15.625
11/12/22, 6:15:00 PM,C,9
11/12/22, 8:15:00 PM,C,5.875
11/12/22, 10:15:00 PM,C,7.5
11/13/22, 12:15:00 AM,C,7.25
11/13/22, 2:15:00 AM,C,8.75
11/13/22, 4:15:00 AM,C,7.625
11/13/22, 6:15:00 AM,C,8.125
11/13/22, 8:15:00 AM,C,10.875
11/13/22, 10:15:00 AM,C,13.125
11/13/22, 12:15:00 PM,C,22.75
11/13/22, 2:15:00 PM,C,18.625
11/13/22, 4:15:00 PM,C,13.625
11/13/22, 6:15:00 PM,C,6.625
11/13/22, 8:15:00 PM,C,4.25
11/13/22, 10:15:00 PM,C,5
11/14/22, 12:15:00 AM,C,5.375
11/14/22, 2:15:00 AM,C,2.125
11/14/22, 4:15:00 AM,C,0.75
11/14/22, 6:15:00 AM,C,0.25
11/14/22, 8:15:00 AM,C,13
11/14/22, 10:15:00 AM,C,17
11/14/22, 12:15:00 PM,C,21.5
11/14/22, 2:15:00 PM,C,22.5
11/14/22, 4:15:00 PM,C,15.125
11/14/22, 6:15:00 PM,C,7.25
11/14/22, 8:15:00 PM,C,5.75
11/14/22, 10:15:00 PM,C,5.25
11/15/22, 12:15:00 AM,C,4.125
11/15/22, 2:15:00 AM,C,1.625
11/15/22, 4:15:00 AM,C,0.875
11/15/22, 6:15:00 AM,C,0.125
11/15/22, 8:15:00 AM,C,9.625
11/15/22, 10:15:00 AM,C,15.625
11/15/22, 12:15:00 PM,C,22.25
11/15/22, 2:15:00 PM,C,21.25
11/15/22, 4:15:00 PM,C,14.5
11/15/22, 6:15:00 PM,C,7.5
11/15/22, 8:15:00 PM,C,5.75
11/15/22, 10:15:00 PM,C,4
11/16/22, 12:15:00 AM,C,2.375
11/16/22, 2:15:00 AM,C,3.25
11/16/22, 4:15:00 AM,C,1.75
11/16/22, 6:15:00 AM,C,3.375
11/16/22, 8:15:00 AM,C,10.375
11/16/22, 10:15:00 AM,C,19.5
11/16/22, 12:15:00 PM,C,24
11/16/22, 2:15:00 PM,C,23
11/16/22, 4:15:00 PM,C,17.625
11/16/22, 6:15:00 PM,C,9.5
11/16/22, 8:15:00 PM,C,5.375
11/16/22, 10:15:00 PM,C,5.5
11/17/22, 12:15:00 AM,C,2.5
11/17/22, 2:15:00 AM,C,1.5
11/17/22, 4:15:00 AM,C,-0.25
11/17/22, 6:15:00 AM,C,0.25
11/17/22, 8:15:00 AM,C,15
11/17/22, 10:15:00 AM,C,20.5
11/17/22, 12:15:00 PM,C,23.875
11/17/22, 2:15:00 PM,C,22.5
11/17/22, 4:15:00 PM,C,16.375
11/17/22, 6:15:00 PM,C,8.25
11/17/22, 8:15:00 PM,C,5.125
11/17/22, 10:15:00 PM,C,4
11/18/22, 12:15:00 AM,C,2.875
11/18/22, 2:15:00 AM,C,1.625
11/18/22, 4:15:00 AM,C,1.125
11/18/22, 6:15:00 AM,C,0.5
11/18/22, 8:15:00 AM,C,13.5
11/18/22, 10:15:00 AM,C,13
11/18/22, 12:15:00 PM,C,21.5
11/18/22, 2:15:00 PM,C,23
11/18/22, 4:15:00 PM,C,14.75
11/18/22, 6:15:00 PM,C,8.125
11/18/22, 8:15:00 PM,C,5.25
11/18/22, 10:15:00 PM,C,3.25
11/19/22, 12:15:00 AM,C,2.5
11/19/22, 2:15:00 AM,C,1.625
11/19/22, 4:15:00 AM,C,0.75
11/19/22, 6:15:00 AM,C,-0.25
11/19/22, 8:15:00 AM,C,10.125
11/19/22, 10:15:00 AM,C,18.875
11/19/22, 12:15:00 PM,C,25.375
11/19/22, 2:15:00 PM,C,25
11/19/22, 4:15:00 PM,C,17
11/19/22, 6:15:00 PM,C,11.375
11/19/22, 8:15:00 PM,C,5.125
11/19/22, 10:15:00 PM,C,2
11/20/22, 12:15:00 AM,C,0.75
11/20/22, 2:15:00 AM,C,-0.875
11/20/22, 4:15:00 AM,C,-1.75
11/20/22, 6:15:00 AM,C,-2
11/20/22, 8:15:00 AM,C,10
11/20/22, 10:15:00 AM,C,16.875
11/20/22, 12:15:00 PM,C,23.25
11/20/22, 2:15:00 PM,C,24.25
11/20/22, 4:15:00 PM,C,17.125
11/20/22, 6:15:00 PM,C,7
11/20/22, 8:15:00 PM,C,3.625
11/20/22, 10:15:00 PM,C,1.625
11/21/22, 12:15:00 AM,C,0
11/21/22, 2:15:00 AM,C,0.5
11/21/22, 4:15:00 AM,C,-1.875
11/21/22, 6:15:00 AM,C,-2.25
11/21/22, 8:15:00 AM,C,10.25
11/21/22, 10:15:00 AM,C,19.75
11/21/22, 12:15:00 PM,C,19.25
11/21/22, 2:15:00 PM,C,23.875
11/21/22, 4:15:00 PM,C,13
11/21/22, 6:15:00 PM,C,6.625
11/21/22, 8:15:00 PM,C,4
11/21/22, 10:15:00 PM,C,2.375
11/22/22, 12:15:00 AM,C,1.375
11/22/22, 2:15:00 AM,C,0.75
11/22/22, 4:15:00 AM,C,-0.375
11/22/22, 6:15:00 AM,C,-2
11/22/22, 8:15:00 AM,C,13.5
11/22/22, 10:15:00 AM,C,19.5
11/22/22, 12:15:00 PM,C,23.875
11/22/22, 2:15:00 PM,C,23
11/22/22, 4:15:00 PM,C,15
11/22/22, 6:15:00 PM,C,7
11/22/22, 8:15:00 PM,C,4.375
11/22/22, 10:15:00 PM,C,4.375
11/23/22, 12:15:00 AM,C,1.25
11/23/22, 2:15:00 AM,C,1
11/23/22, 4:15:00 AM,C,1.625
11/23/22, 6:15:00 AM,C,-0.375
11/23/22, 8:15:00 AM,C,11.75
11/23/22, 10:15:00 AM,C,18.75
11/23/22, 12:15:00 PM,C,23.25
11/23/22, 2:15:00 PM,C,23.375
11/23/22, 4:15:00 PM,C,15.75
11/23/22, 6:15:00 PM,C,7.875
11/23/22, 8:15:00 PM,C,5.5
11/23/22, 10:15:00 PM,C,2.625
11/24/22, 12:15:00 AM,C,2
11/24/22, 2:15:00 AM,C,1.125
11/24/22, 4:15:00 AM,C,-0.5
11/24/22, 6:15:00 AM,C,-0.5
11/24/22, 8:15:00 AM,C,11
11/24/22, 10:15:00 AM,C,22.75
11/24/22, 12:15:00 PM,C,25.875
11/24/22, 2:15:00 PM,C,26.375
11/24/22, 4:15:00 PM,C,23
11/24/22, 6:15:00 PM,C,19.375
11/24/22, 8:15:00 PM,C,15.125
11/24/22, 10:15:00 PM,C,10.75
11/25/22, 12:15:00 AM,C,13.5
11/25/22, 2:15:00 AM,C,7.5
11/25/22, 4:15:00 AM,C,4.25
11/25/22, 6:15:00 AM,C,2.375
11/25/22, 8:15:00 AM,C,14.75
11/25/22, 10:15:00 AM,C,22.625
11/25/22, 12:15:00 PM,C,24.625
11/25/22, 2:15:00 PM,C,26.375
11/25/22, 4:15:00 PM,C,18.75
11/25/22, 6:15:00 PM,C,11.125
11/25/22, 8:15:00 PM,C,5.875
11/25/22, 10:15:00 PM,C,5.25
11/26/22, 12:15:00 AM,C,3
