Date,Hours,year,Site
2/26/24,1352.00,2024-2025,Hopland
2/27/24,1362.00,2024-2025,Hopland
2/28/24,1371.00,2024-2025,Hopland
3/1/24,1379.00,2024-2025,Hopland
2/29/24,1381.00,2024-2025,Hopland
3/2/24,1389.00,2024-2025,Hopland
3/3/24,1393.00,2024-2025,Hopland
3/4/24,1394.00,2024-2025,Hopland
3/5/24,1406.00,2024-2025,Hopland
3/6/24,1418.00,2024-2025,Hopland
3/7/24,1430.00,2024-2025,Hopland
3/8/24,1443.00,2024-2025,Hopland
3/9/24,1454.00,2024-2025,Hopland
3/10/24,1463.00,2024-2025,Hopland
3/11/24,1468.00,2024-2025,Hopland
3/12/24,1482.00,2024-2025,Hopland
3/13/24,1495.00,2024-2025,Hopland
3/14/24,1503.00,2024-2025,Hopland
3/15/24,1503.00,2024-2025,Hopland
3/16/24,1507.00,2024-2025,Hopland
3/17/24,1520.00,2024-2025,Hopland
3/18/24,1532.00,2024-2025,Hopland
3/19/24,1544.00,2024-2025,Hopland
3/20/24,1552.00,2024-2025,Hopland
3/21/24,1553.00,2024-2025,Hopland
3/22/24,1555.00,2024-2025,Hopland
3/23/24,1559.00,2024-2025,Hopland
3/24/24,1559.00,2024-2025,Hopland
3/25/24,1559.00,2024-2025,Hopland
3/26/24,1559.00,2024-2025,Hopland
3/27/24,1564.00,2024-2025,Hopland
3/28/24,1573.00,2024-2025,Hopland
3/29/24,1576.00,2024-2025,Hopland
3/30/24,1581.00,2024-2025,Hopland
3/31/24,1585.00,2024-2025,Hopland
4/1/24,1595.00,2024-2025,Hopland
4/2/24,1606.00,2024-2025,Hopland
4/3/24,1616.00,2024-2025,Hopland
4/4/24,1625.00,2024-2025,Hopland
4/5/24,1632.00,2024-2025,Hopland
4/6/24,1632.00,2024-2025,Hopland
4/7/24,1640.00,2024-2025,Hopland
4/8/24,1645.00,2024-2025,Hopland
4/9/24,1648.00,2024-2025,Hopland
4/10/24,1649.00,2024-2025,Hopland
4/11/24,1651.00,2024-2025,Hopland
4/12/24,1658.00,2024-2025,Hopland
4/13/24,1665.00,2024-2025,Hopland
4/14/24,1665.00,2024-2025,Hopland
4/15/24,1665.00,2024-2025,Hopland
4/16/24,1665.00,2024-2025,Hopland
4/17/24,1667.00,2024-2025,Hopland
4/18/24,1674.00,2024-2025,Hopland
4/19/24,1675.00,2024-2025,Hopland
4/20/24,1682.00,2024-2025,Hopland
4/21/24,1688.00,2024-2025,Hopland
4/22/24,1697.00,2024-2025,Hopland
4/23/24,1703.00,2024-2025,Hopland
4/24/24,1703.00,2024-2025,Hopland
4/25/24,1708.00,2024-2025,Hopland
4/26/24,1708.00,2024-2025,Hopland
4/27/24,1716.00,2024-2025,Hopland
4/28/24,1720.00,2024-2025,Hopland
4/29/24,1720.00,2024-2025,Hopland
4/30/24,1720.00,2024-2025,Hopland
5/1/24,1720.00,2024-2025,Hopland
5/2/24,1720.00,2024-2025,Hopland
5/3/24,1722.00,2024-2025,Hopland
5/4/24,1726.00,2024-2025,Hopland
5/5/24,1731.00,2024-2025,Hopland
5/6/24,1731.00,2024-2025,Hopland
5/7/24,1734.00,2024-2025,Hopland
5/8/24,1740.00,2024-2025,Hopland
5/9/24,1745.00,2024-2025,Hopland
5/10/24,1749.00,2024-2025,Hopland
5/11/24,1749.00,2024-2025,Hopland
5/12/24,1750.00,2024-2025,Hopland
5/13/24,1756.00,2024-2025,Hopland
5/14/24,1762.00,2024-2025,Hopland
5/15/24,1762.00,2024-2025,Hopland
5/16/24,1762.00,2024-2025,Hopland
5/17/24,1767.00,2024-2025,Hopland
5/18/24,1767.00,2024-2025,Hopland
5/19/24,1770.00,2024-2025,Hopland
5/20/24,1774.00,2024-2025,Hopland
5/21/24,1779.00,2024-2025,Hopland
5/22/24,1785.00,2024-2025,Hopland
5/23/24,1788.00,2024-2025,Hopland
5/24/24,1791.00,2024-2025,Hopland
5/25/24,1794.00,2024-2025,Hopland
5/26/24,1797.00,2024-2025,Hopland
5/27/24,1797.00,2024-2025,Hopland
5/28/24,1797.00,2024-2025,Hopland
5/29/24,1797.00,2024-2025,Hopland
5/30/24,1797.00,2024-2025,Hopland
5/31/24,1797.00,2024-2025,Hopland
6/1/24,1797.00,2024-2025,Hopland
6/2/24,1797.00,2024-2025,Hopland
6/3/24,1797.00,2024-2025,Hopland
6/4/24,1797.00,2024-2025,Hopland
6/5/24,1797.00,2024-2025,Hopland
6/6/24,1797.00,2024-2025,Hopland
6/7/24,1797.00,2024-2025,Hopland
6/8/24,1797.00,2024-2025,Hopland
6/9/24,1797.00,2024-2025,Hopland
6/10/24,1799.00,2024-2025,Hopland
6/11/24,1804.00,2024-2025,Hopland
6/12/24,1808.00,2024-2025,Hopland
6/13/24,1811.00,2024-2025,Hopland
6/14/24,1811.00,2024-2025,Hopland
6/15/24,1815.00,2024-2025,Hopland
6/16/24,1815.00,2024-2025,Hopland
6/17/24,1815.00,2024-2025,Hopland
6/18/24,1815.00,2024-2025,Hopland
6/19/24,1817.00,2024-2025,Hopland
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
